,preds,true,detector_name
0,[],"(9572, 9572)",ABCD
1,[],"(13513, 13513)",ABCD
2,[],"(9394, 9394)",ABCD
3,[14497],"(11263, 11263)",ABCD
4,[14859],"(12422, 12422)",ABCD
5,[],"(11996, 11996)",ABCD
6,[],"(14506, 14506)",ABCD
7,[],"(13562, 13562)",ABCD
8,[],"(13570, 13570)",ABCD
9,[11271],"(9721, 9721)",ABCD
10,[],"(10081, 10081)",ABCD
11,[14904],"(12624, 12624)",ABCD
12,[14144],"(11608, 11608)",ABCD
13,[],"(10501, 10501)",ABCD
14,[],"(14478, 14478)",ABCD
15,"[11839, 15348]","(14170, 14170)",ABCD
16,[],"(11434, 11434)",ABCD
17,[15453],"(12268, 12268)",ABCD
18,[],"(12680, 12680)",ABCD
19,[],"(9979, 9979)",ABCD
20,[16870],"(14191, 14191)",ABCD
21,[17590],"(9427, 9427)",ABCD
22,[],"(12460, 12460)",ABCD
23,[],"(13351, 13351)",ABCD
24,[],"(9707, 9707)",ABCD
25,[],"(11243, 11243)",ABCD
26,[],"(11544, 11544)",ABCD
27,[],"(12716, 12716)",ABCD
28,[],"(12253, 12253)",ABCD
29,[],"(13679, 13679)",ABCD
30,[],"(14490, 14490)",ABCD
31,[],"(10203, 10203)",ABCD
32,[],"(14168, 14168)",ABCD
33,[],"(9889, 9889)",ABCD
34,[17882],"(9531, 9531)",ABCD
35,[],"(9745, 9745)",ABCD
36,"[11417, 13675]","(10459, 10459)",ABCD
37,[17964],"(9278, 9278)",ABCD
38,[],"(10395, 10395)",ABCD
39,[13644],"(11159, 11159)",ABCD
40,[16366],"(13001, 13001)",ABCD
41,[],"(14293, 14293)",ABCD
42,[],"(10263, 10263)",ABCD
43,[8194],"(11975, 11975)",ABCD
44,[],"(12642, 12642)",ABCD
45,[],"(13812, 13812)",ABCD
46,[14721],"(12652, 12652)",ABCD
47,[14339],"(12428, 12428)",ABCD
48,[],"(10951, 10951)",ABCD
49,[14034],"(12239, 12239)",ABCD
50,[9579],"(9572, 9572)",ABCDx
51,[13545],"(13513, 13513)",ABCDx
52,[11400],"(11393, 11393)",ABCDx
53,[11493],"(11349, 11349)",ABCDx
54,[14535],"(14508, 14508)",ABCDx
55,[11442],"(11435, 11435)",ABCDx
56,[13819],"(13787, 13787)",ABCDx
57,[],"(9796, 9796)",ABCDx
58,[9866],"(9859, 9859)",ABCDx
59,[13171],"(13143, 13143)",ABCDx
60,[11657],"(11626, 11626)",ABCDx
61,[10596],"(10565, 10565)",ABCDx
62,[10009],"(9977, 9977)",ABCDx
63,[9837],"(9806, 9806)",ABCDx
64,[13045],"(13038, 13038)",ABCDx
65,[11745],"(11738, 11738)",ABCDx
66,[],"(13968, 13968)",ABCDx
67,[13391],"(13360, 13360)",ABCDx
