,preds,true,detector_name
0,[],"(9572, 9572)",ABCD
1,[],"(9448, 9448)",ABCD
2,[11633],"(10744, 10744)",ABCD
3,[12972],"(11534, 11534)",ABCD
4,[14898],"(13056, 13056)",ABCD
5,[],"(9793, 9793)",ABCD
6,[10743],"(9692, 9692)",ABCD
7,[12898],"(9721, 9721)",ABCD
8,[],"(11660, 11660)",ABCD
9,[10550],"(9178, 9178)",ABCD
10,[14357],"(12980, 12980)",ABCD
11,[],"(14181, 14181)",ABCD
12,[14689],"(11371, 11371)",ABCD
13,[],"(11493, 11493)",ABCD
14,[],"(13187, 13187)",ABCD
15,[],"(13315, 13315)",ABCD
16,[],"(13474, 13474)",ABCD
17,[13454],"(10617, 10617)",ABCD
18,[12275],"(10090, 10090)",ABCD
19,[13681],"(12636, 12636)",ABCD
20,[],"(9177, 9177)",ABCD
21,[],"(10071, 10071)",ABCD
22,[11823],"(10454, 10454)",ABCD
23,[14580],"(12654, 12654)",ABCD
24,[],"(9625, 9625)",ABCD
25,[14674],"(13398, 13398)",ABCD
26,[],"(11893, 11893)",ABCD
27,[11913],"(11235, 11235)",ABCD
28,[10660],"(9566, 9566)",ABCD
29,[],"(12772, 12772)",ABCD
30,[16189],"(14411, 14411)",ABCD
31,[],"(13681, 13681)",ABCD
32,[],"(14424, 14424)",ABCD
33,[15905],"(13524, 13524)",ABCD
34,[],"(11978, 11978)",ABCD
35,[14279],"(11884, 11884)",ABCD
36,[16933],"(11901, 11901)",ABCD
37,[],"(11780, 11780)",ABCD
38,[],"(14110, 14110)",ABCD
39,[14504],"(12565, 12565)",ABCD
40,[],"(10129, 10129)",ABCD
41,[16981],"(14510, 14510)",ABCD
42,[14518],"(12873, 12873)",ABCD
43,[15703],"(11896, 11896)",ABCD
44,[14745],"(12979, 12979)",ABCD
45,[],"(9802, 9802)",ABCD
46,[],"(10945, 10945)",ABCD
47,[15667],"(12561, 12561)",ABCD
48,[14997],"(11022, 11022)",ABCD
49,[15246],"(13744, 13744)",ABCD
50,[13217],"(9572, 9572)",ABCDx
51,[14136],"(9448, 9448)",ABCDx
52,[16681],"(10744, 10744)",ABCDx
53,[],"(11534, 11534)",ABCDx
54,[],"(13056, 13056)",ABCDx
55,[],"(9793, 9793)",ABCDx
56,[],"(9692, 9692)",ABCDx
57,[],"(9721, 9721)",ABCDx
58,[16776],"(11660, 11660)",ABCDx
59,[13132],"(9178, 9178)",ABCDx
60,[],"(12980, 12980)",ABCDx
61,[],"(14181, 14181)",ABCDx
62,[15271],"(11371, 11371)",ABCDx
63,[15871],"(11493, 11493)",ABCDx
64,[],"(13187, 13187)",ABCDx
65,[],"(13315, 13315)",ABCDx
66,[],"(13474, 13474)",ABCDx
67,[],"(10617, 10617)",ABCDx
68,[],"(10090, 10090)",ABCDx
69,[],"(12636, 12636)",ABCDx
70,[],"(9177, 9177)",ABCDx
71,[],"(10071, 10071)",ABCDx
72,[14512],"(10454, 10454)",ABCDx
73,[],"(12654, 12654)",ABCDx
74,[],"(9625, 9625)",ABCDx
75,[],"(13398, 13398)",ABCDx
76,[],"(11893, 11893)",ABCDx
77,[],"(11235, 11235)",ABCDx
78,[],"(9566, 9566)",ABCDx
79,[],"(12772, 12772)",ABCDx
80,[],"(14411, 14411)",ABCDx
81,[],"(13681, 13681)",ABCDx
82,[],"(14424, 14424)",ABCDx
83,[],"(13524, 13524)",ABCDx
84,[],"(11978, 11978)",ABCDx
85,[],"(11884, 11884)",ABCDx
86,[],"(11901, 11901)",ABCDx
87,[],"(11780, 11780)",ABCDx
88,[],"(14110, 14110)",ABCDx
89,[],"(12565, 12565)",ABCDx
90,[13980],"(10129, 10129)",ABCDx
91,[],"(14510, 14510)",ABCDx
92,[],"(12873, 12873)",ABCDx
93,[],"(11896, 11896)",ABCDx
94,[],"(12979, 12979)",ABCDx
95,[],"(9802, 9802)",ABCDx
96,[],"(10945, 10945)",ABCDx
97,[17613],"(12561, 12561)",ABCDx
98,[],"(11022, 11022)",ABCDx
99,[],"(13744, 13744)",ABCDx
100,[],"(9572, 9572)",ADWIN
101,[],"(9448, 9448)",ADWIN
102,"[11336, 11423, 11459, 11547, 11585, 11628, 11672, 11711, 12006, 15085]","(10744, 10744)",ADWIN
103,"[11751, 11790, 11840, 11976, 12062, 12822]","(11534, 11534)",ADWIN
104,"[13763, 13809, 13892, 13935, 14063, 14714, 14851]","(13056, 13056)",ADWIN
105,[],"(9793, 9793)",ADWIN
106,"[9903, 9942, 9986, 10075, 10625, 17670]","(9692, 9692)",ADWIN
107,[],"(9721, 9721)",ADWIN
108,[7451],"(11660, 11660)",ADWIN
109,"[9546, 9721, 9804]","(9178, 9178)",ADWIN
110,"[13366, 13409, 13526, 13605, 14108]","(12980, 12980)",ADWIN
111,[],"(14181, 14181)",ADWIN
112,"[15950, 16329]","(11371, 11371)",ADWIN
113,[],"(11493, 11493)",ADWIN
114,[],"(13187, 13187)",ADWIN
115,[],"(13315, 13315)",ADWIN
116,[],"(13474, 13474)",ADWIN
117,[],"(10617, 10617)",ADWIN
118,"[11233, 11272, 11312, 11819, 12247]","(10090, 10090)",ADWIN
119,"[12970, 13016, 13058, 13145, 13184, 13227, 13387, 13770]","(12636, 12636)",ADWIN
120,[],"(9177, 9177)",ADWIN
121,[],"(10071, 10071)",ADWIN
122,"[10831, 10873]","(10454, 10454)",ADWIN
123,"[13100, 13137, 14070]","(12654, 12654)",ADWIN
124,[],"(9625, 9625)",ADWIN
125,"[13829, 13864, 13903, 13987, 14028, 14146, 14526]","(13398, 13398)",ADWIN
126,[],"(11893, 11893)",ADWIN
127,"[11359, 11571, 11696, 11857, 11980]","(11235, 11235)",ADWIN
128,"[10012, 10056, 10103, 10144, 11045]","(9566, 9566)",ADWIN
129,[],"(12772, 12772)",ADWIN
130,"[15148, 15192, 15232, 15271, 15349, 16682]","(14411, 14411)",ADWIN
131,[],"(13681, 13681)",ADWIN
132,[],"(14424, 14424)",ADWIN
133,"[14204, 14245, 14292, 15021, 15320, 16414]","(13524, 13524)",ADWIN
134,[],"(11978, 11978)",ADWIN
135,"[13423, 13539, 13628, 13800, 13845, 13971, 14012, 14225, 14583, 15110, 15269, 15896]","(11884, 11884)",ADWIN
136,[],"(11901, 11901)",ADWIN
137,[],"(11780, 11780)",ADWIN
138,[],"(14110, 14110)",ADWIN
139,"[13177, 13220, 13833, 14073, 14394, 16847]","(12565, 12565)",ADWIN
140,[],"(10129, 10129)",ADWIN
141,"[15160, 15323, 15450, 15492, 15846, 16587]","(14510, 14510)",ADWIN
142,"[13218, 13293, 13371, 13540, 13581, 13629, 13797, 14312]","(12873, 12873)",ADWIN
143,"[9179, 9659]","(11896, 11896)",ADWIN
144,"[13686, 13856, 13898, 13936, 13979, 14178, 14220, 14260, 14432, 14719, 14860]","(12979, 12979)",ADWIN
145,[],"(9802, 9802)",ADWIN
146,[],"(10945, 10945)",ADWIN
147,[16962],"(12561, 12561)",ADWIN
148,[],"(11022, 11022)",ADWIN
149,"[14611, 14649, 14688, 14723, 14811, 14854, 14938, 15404, 16097]","(13744, 13744)",ADWIN
150,[],"(9572, 9572)",CUSUM
151,[],"(9448, 9448)",CUSUM
152,"[8693, 11533]","(10744, 10744)",CUSUM
153,[11628],"(11534, 11534)",CUSUM
154,[13495],"(13056, 13056)",CUSUM
155,[8230],"(9793, 9793)",CUSUM
156,"[9651, 16756]","(9692, 9692)",CUSUM
157,[],"(9721, 9721)",CUSUM
158,[6348],"(11660, 11660)",CUSUM
159,[9685],"(9178, 9178)",CUSUM
160,[13236],"(12980, 12980)",CUSUM
161,[10267],"(14181, 14181)",CUSUM
162,[],"(11371, 11371)",CUSUM
163,[],"(11493, 11493)",CUSUM
164,[9014],"(13187, 13187)",CUSUM
165,[11521],"(13315, 13315)",CUSUM
166,[9891],"(13474, 13474)",CUSUM
167,[],"(10617, 10617)",CUSUM
168,[11052],"(10090, 10090)",CUSUM
169,"[10418, 13130]","(12636, 12636)",CUSUM
170,[],"(9177, 9177)",CUSUM
171,[],"(10071, 10071)",CUSUM
172,[10898],"(10454, 10454)",CUSUM
173,[13060],"(12654, 12654)",CUSUM
174,[8117],"(9625, 9625)",CUSUM
175,"[13016, 14249]","(13398, 13398)",CUSUM
176,[10976],"(11893, 11893)",CUSUM
177,"[6781, 11336]","(11235, 11235)",CUSUM
178,"[8026, 9934]","(9566, 9566)",CUSUM
179,[9849],"(12772, 12772)",CUSUM
180,[14553],"(14411, 14411)",CUSUM
181,[13103],"(13681, 13681)",CUSUM
182,[12146],"(14424, 14424)",CUSUM
183,"[10474, 14077]","(13524, 13524)",CUSUM
184,[6387],"(11978, 11978)",CUSUM
185,"[12232, 14696]","(11884, 11884)",CUSUM
186,[],"(11901, 11901)",CUSUM
187,[10015],"(11780, 11780)",CUSUM
188,[8183],"(14110, 14110)",CUSUM
189,"[13077, 16410]","(12565, 12565)",CUSUM
190,[],"(10129, 10129)",CUSUM
191,"[8365, 15253]","(14510, 14510)",CUSUM
192,[13082],"(12873, 12873)",CUSUM
193,[7927],"(11896, 11896)",CUSUM
194,[13232],"(12979, 12979)",CUSUM
195,[],"(9802, 9802)",CUSUM
196,[8674],"(10945, 10945)",CUSUM
197,[],"(12561, 12561)",CUSUM
198,[9443],"(11022, 11022)",CUSUM
199,"[10942, 14629]","(13744, 13744)",CUSUM
200,[],"(9572, 9572)",DDM
201,[],"(9448, 9448)",DDM
202,"[9814, 11284]","(10744, 10744)",DDM
