,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,18.0,10.0,40.0,0.35714285714285715,0.2,0.2,0.25641025641025644,1158.9,0.9912440112340988,1.5419351285863758,50.0,28.0
ABCDx,10.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.550691117352277,0.550691117352277,50.0,10.0
ADWIN,35.0,107.0,30.0,0.7535211267605634,0.781021897810219,0.4,0.7670250896057347,519.0,1.92741891073297,7.819813866402336,50.0,142.0
CUSUM,29.0,20.0,30.0,0.40816326530612246,0.4,0.4,0.4040404040404041,467.8,1.5970042403216036,2.6983864750261577,50.0,49.0
DDM,16.0,13.0,37.0,0.4482758620689655,0.26,0.26,0.3291139240506329,741.4615384615385,0.8811057877636433,1.5970042403216036,50.0,29.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,12.0,19.0,31.0,0.6129032258064516,0.38,0.38,0.46913580246913583,644.9473684210526,0.6608293408227325,1.7071424637920591,50.0,31.0
HDDMWeighted,66.0,22.0,29.0,0.25,0.43137254901960786,0.42,0.3165467625899281,500.0,3.634561374525029,4.846081832700039,50.0,88.0
PageHinkley,10.0,21.0,29.0,0.6774193548387096,0.42,0.42,0.5185185185185185,697.5714285714286,0.550691117352277,1.7071424637920591,50.0,31.0
RDDM,72.0,27.0,30.0,0.2727272727272727,0.47368421052631576,0.4,0.34615384615384615,507.3,3.964976044936395,5.451842061787543,50.0,99.0
SEED,33.0,47.0,5.0,0.5875,0.9038461538461539,0.9,0.7121212121212122,459.7111111111111,1.8172806872625145,4.405528938818216,50.0,80.0
STEPD,133.0,33.0,21.0,0.19879518072289157,0.6111111111111112,0.58,0.3,343.6896551724138,7.324191860785286,9.1414725480478,50.0,166.0
STUDD,202.0,7.0,46.0,0.03349282296650718,0.1320754716981132,0.08,0.05343511450381679,545.5,11.123960570515997,11.509444352662591,50.0,209.0
