,preds,true,detector_name
0,[],"(9572, 9572)",ABCD
1,[],"(13108, 13108)",ABCD
2,[],"(9753, 9753)",ABCD
3,[13250],"(10658, 10658)",ABCD
4,[],"(13517, 13517)",ABCD
5,[13557],"(10349, 10349)",ABCD
6,[12623],"(10807, 10807)",ABCD
7,[13409],"(9443, 9443)",ABCD
8,[14408],"(12430, 12430)",ABCD
9,[15655],"(14005, 14005)",ABCD
10,[13475],"(9478, 9478)",ABCD
11,[],"(14072, 14072)",ABCD
12,[],"(14016, 14016)",ABCD
13,[],"(10190, 10190)",ABCD
14,[13715],"(11470, 11470)",ABCD
15,[13128],"(10132, 10132)",ABCD
16,[15332],"(13220, 13220)",ABCD
17,[],"(13284, 13284)",ABCD
18,[11646],"(9333, 9333)",ABCD
19,[],"(10136, 10136)",ABCD
20,[17278],"(14389, 14389)",ABCD
21,[],"(14361, 14361)",ABCD
22,[14074],"(11716, 11716)",ABCD
23,[12012],"(9527, 9527)",ABCD
24,[],"(10993, 10993)",ABCD
25,[15545],"(13798, 13798)",ABCD
26,[],"(14509, 14509)",ABCD
27,[17437],"(14482, 14482)",ABCD
28,[12874],"(10800, 10800)",ABCD
29,[14261],"(11790, 11790)",ABCD
30,[17138],"(10810, 10810)",ABCD
31,[14252],"(11494, 11494)",ABCD
32,[15020],"(9490, 9490)",ABCD
33,[],"(13539, 13539)",ABCD
34,[16262],"(12820, 12820)",ABCD
35,[],"(12673, 12673)",ABCD
36,[15013],"(12742, 12742)",ABCD
37,[14506],"(12286, 12286)",ABCD
38,[],"(10557, 10557)",ABCD
39,[16102],"(13668, 13668)",ABCD
40,[15612],"(12851, 12851)",ABCD
41,[16464],"(13485, 13485)",ABCD
42,[13390],"(11663, 11663)",ABCD
43,[17858],"(14403, 14403)",ABCD
44,[16001],"(12995, 12995)",ABCD
45,[],"(11490, 11490)",ABCD
46,[12701],"(10456, 10456)",ABCD
47,[],"(14173, 14173)",ABCD
48,[13151],"(10352, 10352)",ABCD
49,[],"(12132, 12132)",ABCD
50,[14687],"(9572, 9572)",ABCDx
51,[],"(13108, 13108)",ABCDx
52,[],"(9753, 9753)",ABCDx
53,[],"(10658, 10658)",ABCDx
54,[],"(13517, 13517)",ABCDx
55,[],"(10349, 10349)",ABCDx
56,[16711],"(10807, 10807)",ABCDx
57,[],"(9443, 9443)",ABCDx
58,[],"(12430, 12430)",ABCDx
59,[],"(14005, 14005)",ABCDx
60,[],"(9478, 9478)",ABCDx
61,[],"(14072, 14072)",ABCDx
62,[],"(14016, 14016)",ABCDx
63,[17201],"(10190, 10190)",ABCDx
64,[],"(11470, 11470)",ABCDx
65,[],"(10132, 10132)",ABCDx
66,[],"(13220, 13220)",ABCDx
67,[],"(13284, 13284)",ABCDx
68,[],"(9333, 9333)",ABCDx
69,[],"(10136, 10136)",ABCDx
70,[],"(14389, 14389)",ABCDx
71,[],"(14361, 14361)",ABCDx
72,[],"(11716, 11716)",ABCDx
73,[],"(9527, 9527)",ABCDx
74,[],"(10993, 10993)",ABCDx
75,[],"(13798, 13798)",ABCDx
76,[],"(14509, 14509)",ABCDx
77,[],"(14482, 14482)",ABCDx
78,[],"(10800, 10800)",ABCDx
79,[],"(11790, 11790)",ABCDx
80,[],"(10810, 10810)",ABCDx
81,[17795],"(11494, 11494)",ABCDx
82,[],"(9490, 9490)",ABCDx
83,[],"(13539, 13539)",ABCDx
84,[],"(12820, 12820)",ABCDx
85,[],"(12673, 12673)",ABCDx
86,[],"(12742, 12742)",ABCDx
87,[],"(12286, 12286)",ABCDx
88,[14088],"(10557, 10557)",ABCDx
89,[],"(13668, 13668)",ABCDx
90,[],"(12851, 12851)",ABCDx
91,[],"(13485, 13485)",ABCDx
92,[],"(11663, 11663)",ABCDx
93,[],"(14403, 14403)",ABCDx
94,[],"(12995, 12995)",ABCDx
95,[16424],"(11490, 11490)",ABCDx
96,[],"(10456, 10456)",ABCDx
97,[],"(14173, 14173)",ABCDx
98,[],"(10352, 10352)",ABCDx
99,[],"(12132, 12132)",ABCDx
100,[],"(9572, 9572)",ADWIN
101,[9723],"(13108, 13108)",ADWIN
102,[],"(9753, 9753)",ADWIN
103,"[12085, 12557, 12640, 12769, 12853, 13867, 14549]","(10658, 10658)",ADWIN
104,[],"(13517, 13517)",ADWIN
105,"[12125, 12552, 13285, 14011, 16066, 17027, 17498, 17952]","(10349, 10349)",ADWIN
106,"[11713, 11747, 11820, 12245, 12484, 12730, 13058, 14655]","(10807, 10807)",ADWIN
107,[],"(9443, 9443)",ADWIN
108,"[13933, 13974, 14098, 14216, 14263, 14305, 14345, 14386, 14428, 14967, 15001, 15123]","(12430, 12430)",ADWIN
109,"[15241, 15480, 15527, 15563, 15612, 15740, 16771, 17870]","(14005, 14005)",ADWIN
110,[],"(9478, 9478)",ADWIN
111,[],"(14072, 14072)",ADWIN
112,[],"(14016, 14016)",ADWIN
113,[],"(10190, 10190)",ADWIN
114,"[12566, 12605, 12642, 12680, 13120, 14033, 14287, 15875, 17592]","(11470, 11470)",ADWIN
115,"[12106, 12196, 12273, 12513, 12555, 13053, 15628]","(10132, 10132)",ADWIN
116,"[14798, 14924, 15094, 15217, 15267, 15304, 15348, 15565, 15605, 15856, 17318]","(13220, 13220)",ADWIN
117,[],"(13284, 13284)",ADWIN
118,"[10970, 11017, 11093, 11133, 11172, 11214, 11657, 11969]","(9333, 9333)",ADWIN
119,[],"(10136, 10136)",ADWIN
120,"[16007, 16046, 16085, 16162, 16246, 16749]","(14389, 14389)",ADWIN
121,[],"(14361, 14361)",ADWIN
122,"[13268, 13387, 13765, 14149, 14231, 14275, 14438, 14998, 16563]","(11716, 11716)",ADWIN
123,"[10984, 11066, 11111, 11151, 11237, 11324, 11693, 12539, 13236, 16159]","(9527, 9527)",ADWIN
124,[],"(10993, 10993)",ADWIN
125,"[14814, 15089, 15131, 15212, 15249, 15502, 15545, 15952, 16535]","(13798, 13798)",ADWIN
126,[],"(14509, 14509)",ADWIN
127,"[15539, 15618, 16484, 16646, 16811, 16855, 17240, 17487, 17574, 17839]","(14482, 14482)",ADWIN
128,"[11935, 12184, 12388, 12466, 12710, 12921, 13110, 13432, 14227, 15682]","(10800, 10800)",ADWIN
129,"[13143, 13184, 13310, 13356, 13527, 13898, 14025, 14114]","(11790, 11790)",ADWIN
130,[],"(10810, 10810)",ADWIN
131,"[12780, 12815, 12942, 13484, 16796]","(11494, 11494)",ADWIN
132,[],"(9490, 9490)",ADWIN
133,[],"(13539, 13539)",ADWIN
134,"[14794, 14834, 14878, 14917, 15875, 17165]","(12820, 12820)",ADWIN
135,[],"(12673, 12673)",ADWIN
136,"[14011, 14049, 14203, 14239, 14315, 14488, 14604, 14731, 15017, 17715]","(12742, 12742)",ADWIN
137,"[13735, 13826, 13874, 13911, 13989, 14028, 14167, 14256, 14561, 15220]","(12286, 12286)",ADWIN
138,[],"(10557, 10557)",ADWIN
139,"[15050, 15137, 15175, 15217, 15296, 15383, 15424, 15469, 16021, 16183, 18133]","(13668, 13668)",ADWIN
140,"[14562, 14604, 14652, 14691, 14776, 14910, 15048, 15451, 15745, 16344, 17258]","(12851, 12851)",ADWIN
141,"[15079, 15172, 15223, 15312, 15774]","(13485, 13485)",ADWIN
142,"[12763, 12801, 12838, 12875, 12947, 12987, 13027, 13064, 13105, 14151, 16621]","(11663, 11663)",ADWIN
143,"[16639, 16723, 16764, 16805, 17003, 17216, 17379, 17997]","(14403, 14403)",ADWIN
144,"[14547, 14585, 14673, 14877, 14930, 15275, 16435, 17366]","(12995, 12995)",ADWIN
145,[],"(11490, 11490)",ADWIN
146,"[11866, 11983, 12244, 12458, 12542, 12760, 12798, 13385, 15527]","(10456, 10456)",ADWIN
147,[],"(14173, 14173)",ADWIN
148,"[11979, 12113, 12201, 12443, 12629, 12764, 13223, 13770, 14160]","(10352, 10352)",ADWIN
149,[],"(12132, 12132)",ADWIN
150,[],"(9572, 9572)",CUSUM
151,[7879],"(13108, 13108)",CUSUM
152,[],"(9753, 9753)",CUSUM
153,"[8390, 12096, 15972]","(10658, 10658)",CUSUM
154,[12089],"(13517, 13517)",CUSUM
155,"[11737, 15838]","(10349, 10349)",CUSUM
156,"[11389, 16021]","(10807, 10807)",CUSUM
157,[],"(9443, 9443)",CUSUM
158,"[10206, 13948]","(12430, 12430)",CUSUM
159,"[9732, 15318]","(14005, 14005)",CUSUM
160,[],"(9478, 9478)",CUSUM
161,[12299],"(14072, 14072)",CUSUM
162,[],"(14016, 14016)",CUSUM
163,[8207],"(10190, 10190)",CUSUM
164,"[12131, 14575]","(11470, 11470)",CUSUM
165,[11905],"(10132, 10132)",CUSUM
166,"[10232, 14786]","(13220, 13220)",CUSUM
167,[9901],"(13284, 13284)",CUSUM
168,"[8311, 10946]","(9333, 9333)",CUSUM
169,[7808],"(10136, 10136)",CUSUM
170,"[10286, 15881]","(14389, 14389)",CUSUM
171,[9211],"(14361, 14361)",CUSUM
172,"[10569, 13365, 17623]","(11716, 11716)",CUSUM
173,"[10693, 14595]","(9527, 9527)",CUSUM
174,"[9436, 10543]","(10993, 10993)",CUSUM
175,"[11410, 15105]","(13798, 13798)",CUSUM
176,[11525],"(14509, 14509)",CUSUM
177,"[15283, 17695]","(14482, 14482)",CUSUM
178,"[11260, 13276]","(10800, 10800)",CUSUM
179,[12838],"(11790, 11790)",CUSUM
180,[],"(10810, 10810)",CUSUM
181,"[10497, 12731, 16323]","(11494, 11494)",CUSUM
182,[7619],"(9490, 9490)",CUSUM
183,[11179],"(13539, 13539)",CUSUM
184,[14549],"(12820, 12820)",CUSUM
185,[],"(12673, 12673)",CUSUM
186,"[12588, 14112]","(12742, 12742)",CUSUM
187,"[11395, 13823]","(12286, 12286)",CUSUM
188,[],"(10557, 10557)",CUSUM
189,"[14483, 16356]","(13668, 13668)",CUSUM
190,"[13895, 17277]","(12851, 12851)",CUSUM
191,[14864],"(13485, 13485)",CUSUM
192,"[7448, 12070, 14120]","(11663, 11663)",CUSUM
193,"[9302, 16269]","(14403, 14403)",CUSUM
194,"[7903, 13943, 17220]","(12995, 12995)",CUSUM
195,[5899],"(11490, 11490)",CUSUM
196,[11403],"(10456, 10456)",CUSUM
197,[13856],"(14173, 14173)",CUSUM
198,"[11747, 14411]","(10352, 10352)",CUSUM
199,"[8011, 10775]","(12132, 12132)",CUSUM
200,[],"(9572, 9572)",DDM
201,[7929],"(13108, 13108)",DDM
202,[],"(9753, 9753)",DDM
203,[],"(10658, 10658)",DDM
204,[],"(13517, 13517)",DDM
