,preds,true,detector_name
0,"[9792, 10805, 12198, 13237]","(9572, 9572)",ABCD
1,"[14736, 16150]","(13513, 13513)",ABCD
2,"[10224, 14685]","(9394, 9394)",ABCD
3,"[12349, 15423]","(11263, 11263)",ABCD
4,"[12772, 14223, 15891]","(12422, 12422)",ABCD
5,"[12247, 13768, 14535]","(11996, 11996)",ABCD
6,[16135],"(14506, 14506)",ABCD
7,"[13880, 15128, 16942]","(13562, 13562)",ABCD
8,[15238],"(13570, 13570)",ABCD
9,"[10082, 11832, 13702, 17969]","(9721, 9721)",ABCD
10,[10985],"(10081, 10081)",ABCD
11,"[12939, 13685, 15418, 16610]","(12624, 12624)",ABCD
12,"[11915, 13714, 16732]","(11608, 11608)",ABCD
13,"[10837, 12140, 13208, 15897]","(10501, 10501)",ABCD
14,[16155],"(14478, 14478)",ABCD
15,"[14717, 16762]","(14170, 14170)",ABCD
16,"[11731, 12965, 14819, 16138]","(11434, 11434)",ABCD
17,"[13550, 17882]","(12268, 12268)",ABCD
18,"[13110, 14538]","(12680, 12680)",ABCD
19,"[10228, 11669, 12440, 15869]","(9979, 9979)",ABCD
20,"[14777, 16267]","(14191, 14191)",ABCD
21,"[9813, 10784, 14038]","(9427, 9427)",ABCD
22,"[13785, 18097]","(12460, 12460)",ABCD
23,[14641],"(13351, 13351)",ABCD
24,"[10690, 18143]","(9707, 9707)",ABCD
25,[12362],"(11243, 11243)",ABCD
26,"[11873, 13199, 14637]","(11544, 11544)",ABCD
27,"[13017, 14176, 15706]","(12716, 12716)",ABCD
28,[14007],"(12253, 12253)",ABCD
29,"[14786, 16806]","(13679, 13679)",ABCD
30,"[14943, 16655]","(14490, 14490)",ABCD
31,"[10471, 11795, 16581, 18130]","(10203, 10203)",ABCD
32,"[15181, 17994]","(14168, 14168)",ABCD
33,"[10658, 11924]","(9889, 9889)",ABCD
34,"[9823, 11654, 13108]","(9531, 9531)",ABCD
35,"[9952, 10859, 13596, 15163]","(9745, 9745)",ABCD
36,"[11485, 14958]","(10459, 10459)",ABCD
37,[11166],"(9278, 9278)",ABCD
38,"[11488, 15824]","(10395, 10395)",ABCD
39,"[11477, 12690, 14863, 17772]","(11159, 11159)",ABCD
40,"[13276, 14057, 16216]","(13001, 13001)",ABCD
41,"[14643, 15935, 16998]","(14293, 14293)",ABCD
42,"[10548, 11266, 13208]","(10263, 10263)",ABCD
43,"[12311, 13592, 15186, 17129]","(11975, 11975)",ABCD
44,[13824],"(12642, 12642)",ABCD
45,"[14179, 15983, 17273]","(13812, 13812)",ABCD
46,"[12955, 16541]","(12652, 12652)",ABCD
47,"[12748, 14663, 16954]","(12428, 12428)",ABCD
48,"[11188, 12691, 13929]","(10951, 10951)",ABCD
49,[13685],"(12239, 12239)",ABCD
50,[],"(9572, 9572)",ABCDx
51,[],"(13513, 13513)",ABCDx
52,[],"(9394, 9394)",ABCDx
53,[],"(11263, 11263)",ABCDx
54,[],"(12422, 12422)",ABCDx
55,[],"(11996, 11996)",ABCDx
56,[],"(14506, 14506)",ABCDx
57,[],"(13562, 13562)",ABCDx
58,[],"(13570, 13570)",ABCDx
59,[],"(9721, 9721)",ABCDx
60,[],"(10081, 10081)",ABCDx
61,[],"(12624, 12624)",ABCDx
62,[],"(11608, 11608)",ABCDx
63,[],"(10501, 10501)",ABCDx
64,[],"(14478, 14478)",ABCDx
65,[],"(14170, 14170)",ABCDx
66,[],"(11434, 11434)",ABCDx
67,[],"(12268, 12268)",ABCDx
68,[],"(12680, 12680)",ABCDx
69,[],"(9979, 9979)",ABCDx
70,[],"(14191, 14191)",ABCDx
71,[],"(9427, 9427)",ABCDx
72,[],"(12460, 12460)",ABCDx
73,[],"(13351, 13351)",ABCDx
74,[],"(9707, 9707)",ABCDx
75,[],"(11243, 11243)",ABCDx
76,[],"(11544, 11544)",ABCDx
77,[],"(12716, 12716)",ABCDx
78,[],"(12253, 12253)",ABCDx
79,[],"(13679, 13679)",ABCDx
80,[],"(14490, 14490)",ABCDx
81,[],"(10203, 10203)",ABCDx
82,[],"(14168, 14168)",ABCDx
83,[],"(9889, 9889)",ABCDx
84,[],"(9531, 9531)",ABCDx
85,[],"(9745, 9745)",ABCDx
86,[],"(10459, 10459)",ABCDx
87,[],"(9278, 9278)",ABCDx
88,[],"(10395, 10395)",ABCDx
89,[],"(11159, 11159)",ABCDx
90,[],"(13001, 13001)",ABCDx
91,[],"(14293, 14293)",ABCDx
92,[],"(10263, 10263)",ABCDx
93,[],"(11975, 11975)",ABCDx
94,[],"(12642, 12642)",ABCDx
95,[],"(13812, 13812)",ABCDx
96,[],"(12652, 12652)",ABCDx
97,[],"(12428, 12428)",ABCDx
98,[],"(10951, 10951)",ABCDx
99,[],"(12239, 12239)",ABCDx
100,"[10683, 10747, 10779, 10875, 11163, 11451, 11739, 11835, 12187, 12731, 12795, 12987, 13019, 13179, 13307, 13403, 13531, 13595, 14235]","(9572, 9572)",ADWIN
101,"[14235, 14267, 14331, 14363, 14395, 14459, 14555, 14747, 15387, 15707, 15867, 15995, 16283, 17083, 17531]","(13513, 13513)",ADWIN
102,"[9691, 9787, 9819, 9979, 11163, 11931, 12443, 14139, 15643, 15995, 16219, 16443, 16571, 16603, 16731, 17051, 17339]","(9394, 9394)",ADWIN
