,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,77.0,65.0,2.0,0.45774647887323944,0.9701492537313433,0.96,0.6220095693779905,533.2916666666666,4.240321603612534,7.819813866402336,50.0,142.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,509.0,224.0,6.0,0.30559345156889495,0.9739130434782609,0.88,0.46521287642782977,787.1818181818181,28.030177873230905,40.36565890192191,50.0,733.0
CUSUM,78.0,20.0,30.0,0.20408163265306123,0.4,0.4,0.2702702702702703,550.9,4.295390715347762,5.396772950052315,50.0,98.0
DDM,111.0,20.0,30.0,0.15267175572519084,0.4,0.4,0.22099447513812154,561.95,6.1126714026102755,7.21405363731483,50.0,131.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,1448.0,226.0,0.0,0.13500597371565112,1.0,1.0,0.23789473684210527,157.18,79.74007379260972,92.18569304477118,50.0,1674.0
HDDMAverage,83.0,64.0,6.0,0.43537414965986393,0.9142857142857143,0.88,0.5898617511520737,665.7272727272727,4.5707362740239,8.095159425078473,50.0,147.0
HDDMWeighted,85.0,51.0,2.0,0.375,0.9622641509433962,0.96,0.5396825396825397,681.6458333333334,4.680874497494355,7.489399195990969,50.0,136.0
PageHinkley,27.0,16.0,34.0,0.37209302325581395,0.32,0.32,0.3440860215053763,998.5625,1.4868660168511483,2.3679718046147915,50.0,43.0
RDDM,139.0,22.0,28.0,0.13664596273291926,0.44,0.44,0.2085308056872038,423.95454545454544,7.654606531196652,8.866126989371661,50.0,161.0
SEED,109.0,87.0,0.0,0.44387755102040816,1.0,1.0,0.6148409893992933,262.88,6.00253317913982,10.79354590010463,50.0,196.0
STEPD,122.0,76.0,0.0,0.3838383838383838,1.0,1.0,0.5547445255474452,286.48,6.71843163169778,10.903684123575086,50.0,198.0
STUDD,255.0,22.0,40.0,0.07942238267148015,0.3548387096774194,0.2,0.12979351032448377,697.6,14.042623492483067,15.254143950658076,50.0,277.0
