,preds,true,detector_name
0,[81004],"(67757, 67757)",ABCD
1,[77072],"(76100, 76100)",ABCD
2,[],"(79829, 79829)",ABCD
3,[61898],"(79389, 79389)",ABCD
4,[66190],"(61080, 61080)",ABCD
5,[91502],"(68705, 68705)",ABCD
6,[],"(69606, 69606)",ABCD
7,[],"(60370, 60370)",ABCD
8,[65492],"(56817, 56817)",ABCD
9,[87603],"(67552, 67552)",ABCD
10,[],"(70498, 70498)",ABCD
11,[76078],"(71493, 71493)",ABCD
12,[],"(53765, 53765)",ABCD
13,[],"(67546, 67546)",ABCD
14,[94087],"(59685, 59685)",ABCD
15,[],"(77851, 77851)",ABCD
16,[70944],"(55163, 55163)",ABCD
17,[87007],"(63148, 63148)",ABCD
18,[66747],"(56564, 56564)",ABCD
19,[79580],"(72930, 72930)",ABCD
20,[96805],"(73026, 73026)",ABCD
21,[80027],"(59173, 59173)",ABCD
22,[91848],"(74160, 74160)",ABCD
23,[],"(69971, 69971)",ABCD
24,[63249],"(53813, 53813)",ABCD
25,[],"(56533, 56533)",ABCD
26,[],"(64104, 64104)",ABCD
27,[],"(62506, 62506)",ABCD
28,[81449],"(64555, 64555)",ABCD
29,[85051],"(75396, 75396)",ABCD
30,[98626],"(69087, 69087)",ABCD
31,[70553],"(53021, 53021)",ABCD
32,"[40983, 64748]","(52215, 52215)",ABCD
33,[32304],"(75965, 75965)",ABCD
34,[75387],"(72444, 72444)",ABCD
35,"[50257, 85848]","(69628, 69628)",ABCD
36,[],"(64119, 64119)",ABCD
37,[],"(64099, 64099)",ABCD
38,[82746],"(72924, 72924)",ABCD
39,[69662],"(57386, 57386)",ABCD
40,[58448],"(63879, 63879)",ABCD
41,[78592],"(57447, 57447)",ABCD
42,[83461],"(73617, 73617)",ABCD
43,[79288],"(71510, 71510)",ABCD
44,[92719],"(77994, 77994)",ABCD
45,[],"(71363, 71363)",ABCD
46,[64139],"(51763, 51763)",ABCD
47,[60788],"(50099, 50099)",ABCD
48,[86328],"(72925, 72925)",ABCD
49,[79042],"(69139, 69139)",ABCD
50,[],"(67757, 67757)",ABCDx
51,[],"(57798, 57798)",ABCDx
52,[],"(71463, 71463)",ABCDx
53,[],"(56294, 56294)",ABCDx
54,[],"(64929, 64929)",ABCDx
55,[],"(72865, 72865)",ABCDx
56,[],"(76042, 76042)",ABCDx
57,[],"(52866, 52866)",ABCDx
58,[],"(77553, 77553)",ABCDx
59,[],"(77013, 77013)",ABCDx
60,[],"(67171, 67171)",ABCDx
