,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,37.0,1.0,49.0,0.02631578947368421,0.02,0.02,0.022727272727272724,972.0,0.37,0.38,50.0,38.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,210.0,10.0,47.0,0.045454545454545456,0.17543859649122806,0.06,0.07220216606498195,1137.6666666666667,2.1,2.2,50.0,220.0
CUSUM,83.0,6.0,44.0,0.06741573033707865,0.12,0.12,0.08633093525179855,1207.6666666666667,0.83,0.8899999999999999,50.0,89.0
DDM,5534.0,175.0,14.0,0.03065335435277632,0.9259259259259259,0.72,0.059342149881315705,497.0833333333333,55.34,57.09,50.0,5709.0
EWMAChart,75.0,2.0,48.0,0.025974025974025976,0.04,0.04,0.031496062992125984,1945.5,0.75,0.7699999999999999,50.0,77.0
GeometricMovingAverage,28196.0,931.0,0.0,0.0319634703196347,1.0,1.0,0.06194690265486725,56.44,281.96,291.27,50.0,29127.0
HDDMAverage,98.0,1.0,49.0,0.010101010101010102,0.02,0.02,0.01342281879194631,926.0,0.98,0.99,50.0,99.0
HDDMWeighted,5482.0,171.0,1.0,0.030249425084026182,0.9941860465116279,0.98,0.05871244635193133,428.7142857142857,54.82,56.529999999999994,50.0,5653.0
PageHinkley,20.0,1.0,49.0,0.047619047619047616,0.02,0.02,0.028169014084507043,40.0,0.2,0.21000000000000002,50.0,21.0
RDDM,46540.0,1493.0,0.0,0.031082797243561718,1.0,1.0,0.06029156402697573,72.62,465.4,480.33,50.0,48033.0
SEED,107.0,5.0,46.0,0.044642857142857144,0.09803921568627451,0.08,0.06134969325153375,1467.5,1.07,1.1199999999999999,50.0,112.0
STEPD,95.0,4.0,46.0,0.04040404040404041,0.08,0.08,0.05369127516778524,1697.75,0.95,0.99,50.0,99.0
STUDD,522.0,15.0,42.0,0.027932960893854747,0.2631578947368421,0.16,0.050505050505050504,1533.125,5.22,5.37,50.0,537.0
