,preds,true,detector_name
0,[],"(65547, 65547)",ABCD
1,[],"(58278, 58278)",ABCD
2,[],"(76446, 76446)",ABCD
3,[],"(76860, 76860)",ABCD
4,[71056],"(52147, 52147)",ABCD
5,[98646],"(68100, 68100)",ABCD
6,[89006],"(69223, 69223)",ABCD
7,[65697],"(59979, 59979)",ABCD
8,[],"(57606, 57606)",ABCD
9,[],"(70153, 70153)",ABCD
10,[],"(72369, 72369)",ABCD
11,[90880],"(52812, 52812)",ABCD
12,[94994],"(67394, 67394)",ABCD
13,[85764],"(71785, 71785)",ABCD
14,[85606],"(76037, 76037)",ABCD
15,[88719],"(71258, 71258)",ABCD
16,[63357],"(55531, 55531)",ABCD
17,[],"(62009, 62009)",ABCD
18,[59128],"(52869, 52869)",ABCD
19,[],"(75556, 75556)",ABCD
20,[],"(72046, 72046)",ABCD
21,[],"(56075, 56075)",ABCD
22,[94171],"(58053, 58053)",ABCD
23,[73132],"(53132, 53132)",ABCD
24,[],"(61671, 61671)",ABCD
25,[90432],"(75483, 75483)",ABCD
26,[89848],"(67485, 67485)",ABCD
27,[],"(52878, 52878)",ABCD
28,[87429],"(59413, 59413)",ABCD
29,[],"(71278, 71278)",ABCD
30,[65867],"(57038, 57038)",ABCD
31,[],"(58210, 58210)",ABCD
32,[92452],"(67681, 67681)",ABCD
33,[],"(79194, 79194)",ABCD
34,[78337],"(69021, 69021)",ABCD
35,[],"(76284, 76284)",ABCD
36,[90367],"(55962, 55962)",ABCD
37,[],"(57312, 57312)",ABCD
38,[86085],"(72566, 72566)",ABCD
39,[],"(74832, 74832)",ABCD
40,[87796],"(67486, 67486)",ABCD
41,[89228],"(69937, 69937)",ABCD
42,[],"(69387, 69387)",ABCD
43,[88048],"(55883, 55883)",ABCD
44,[61445],"(53041, 53041)",ABCD
45,[96537],"(75923, 75923)",ABCD
46,[92593],"(52265, 52265)",ABCD
47,[75043],"(74463, 74463)",ABCD
48,[],"(71792, 71792)",ABCD
49,[79543],"(50019, 50019)",ABCD
50,[],"(65547, 65547)",ABCDx
51,[],"(58278, 58278)",ABCDx
52,[],"(76446, 76446)",ABCDx
53,[],"(76860, 76860)",ABCDx
54,[],"(52147, 52147)",ABCDx
55,[],"(68100, 68100)",ABCDx
56,[],"(69223, 69223)",ABCDx
57,[],"(59979, 59979)",ABCDx
58,[],"(57606, 57606)",ABCDx
59,[],"(70153, 70153)",ABCDx
60,[],"(72369, 72369)",ABCDx
61,[],"(52812, 52812)",ABCDx
62,[],"(67394, 67394)",ABCDx
63,[],"(71785, 71785)",ABCDx
64,[],"(76037, 76037)",ABCDx
65,[],"(71258, 71258)",ABCDx
66,[67085],"(55531, 55531)",ABCDx
67,[],"(62009, 62009)",ABCDx
68,[],"(52869, 52869)",ABCDx
69,[],"(75556, 75556)",ABCDx
70,[],"(72046, 72046)",ABCDx
71,[],"(56075, 56075)",ABCDx
72,[],"(58053, 58053)",ABCDx
73,[],"(53132, 53132)",ABCDx
74,[],"(61671, 61671)",ABCDx
