,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,28.0,1.0,49.0,0.034482758620689655,0.02,0.02,0.02531645569620253,580.0,0.27999999999999997,0.29,50.0,29.0
ABCDx,4.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.04,0.04,50.0,4.0
ADWIN,186.0,5.0,48.0,0.02617801047120419,0.09433962264150944,0.04,0.04098360655737705,896.5,1.86,1.91,50.0,191.0
CUSUM,233.0,14.0,36.0,0.05668016194331984,0.28,0.28,0.09427609427609428,1250.5,2.33,2.4699999999999998,50.0,247.0
DDM,24.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.24000000000000002,0.24000000000000002,50.0,24.0
EWMAChart,250.0,5.0,47.0,0.0196078431372549,0.09615384615384616,0.06,0.03257328990228013,416.0,2.5,2.5500000000000003,50.0,255.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,86.0,3.0,47.0,0.033707865168539325,0.06,0.06,0.043165467625899276,1647.3333333333333,0.86,0.8899999999999999,50.0,89.0
HDDMWeighted,1938.0,70.0,7.0,0.0348605577689243,0.9090909090909091,0.86,0.06714628297362109,917.9069767441861,19.380000000000003,20.080000000000002,50.0,2008.0
PageHinkley,83.0,5.0,45.0,0.056818181818181816,0.1,0.1,0.07246376811594203,1365.2,0.83,0.88,50.0,88.0
RDDM,240.0,11.0,42.0,0.043824701195219126,0.20754716981132076,0.16,0.07236842105263158,1085.375,2.4,2.5100000000000002,50.0,251.0
SEED,89.0,7.0,43.0,0.07291666666666667,0.14,0.14,0.0958904109589041,996.1428571428571,0.8899999999999999,0.9600000000000001,50.0,96.0
STEPD,1120.0,33.0,26.0,0.028620988725065046,0.559322033898305,0.48,0.05445544554455446,913.7916666666666,11.2,11.530000000000001,50.0,1153.0
STUDD,610.0,14.0,43.0,0.022435897435897436,0.24561403508771928,0.14,0.04111600587371513,898.4285714285714,6.1000000000000005,6.24,50.0,624.0
