,preds,true,detector_name
0,[97330],"(65547, 65547)",ABCD
1,[],"(58278, 58278)",ABCD
2,[],"(76446, 76446)",ABCD
3,[],"(76860, 76860)",ABCD
4,[66829],"(52147, 52147)",ABCD
5,[92731],"(68100, 68100)",ABCD
6,[82400],"(69223, 69223)",ABCD
7,"[53449, 62946]","(59979, 59979)",ABCD
8,[],"(57606, 57606)",ABCD
9,[],"(70153, 70153)",ABCD
10,[98825],"(72369, 72369)",ABCD
11,[84605],"(52812, 52812)",ABCD
12,[82912],"(67394, 67394)",ABCD
13,[81749],"(71785, 71785)",ABCD
14,[80132],"(76037, 76037)",ABCD
15,[78543],"(71258, 71258)",ABCD
16,[60840],"(55531, 55531)",ABCD
17,[],"(62009, 62009)",ABCD
18,[57488],"(52869, 52869)",ABCD
19,[],"(75556, 75556)",ABCD
20,[],"(72046, 72046)",ABCD
21,[],"(56075, 56075)",ABCD
22,[87347],"(58053, 58053)",ABCD
23,[62081],"(53132, 53132)",ABCD
24,[],"(61671, 61671)",ABCD
25,[86191],"(75483, 75483)",ABCD
26,[87072],"(67485, 67485)",ABCD
27,[95888],"(52878, 52878)",ABCD
28,[84249],"(59413, 59413)",ABCD
29,[],"(71278, 71278)",ABCD
30,"[50507, 59418]","(57038, 57038)",ABCD
31,[],"(58210, 58210)",ABCD
32,[85398],"(67681, 67681)",ABCD
33,[99667],"(79194, 79194)",ABCD
34,[75511],"(69021, 69021)",ABCD
35,[],"(76284, 76284)",ABCD
36,[87870],"(55962, 55962)",ABCD
37,[],"(57312, 57312)",ABCD
38,[81401],"(72566, 72566)",ABCD
39,[91429],"(74832, 74832)",ABCD
40,[82298],"(67486, 67486)",ABCD
41,[84677],"(69937, 69937)",ABCD
42,[97502],"(69387, 69387)",ABCD
43,[82967],"(55883, 55883)",ABCD
44,"[57013, 81775]","(53041, 53041)",ABCD
45,[89875],"(75923, 75923)",ABCD
46,[82865],"(52265, 52265)",ABCD
47,[71744],"(74463, 74463)",ABCD
48,[],"(71792, 71792)",ABCD
49,[73990],"(50019, 50019)",ABCD
50,[],"(65547, 65547)",ABCDx
51,[],"(58278, 58278)",ABCDx
52,[],"(76446, 76446)",ABCDx
53,[],"(76860, 76860)",ABCDx
54,[],"(52147, 52147)",ABCDx
55,[],"(68100, 68100)",ABCDx
56,[],"(69223, 69223)",ABCDx
57,[],"(59979, 59979)",ABCDx
58,[],"(57606, 57606)",ABCDx
59,[],"(70153, 70153)",ABCDx
60,[],"(72369, 72369)",ABCDx
61,[],"(52812, 52812)",ABCDx
62,[],"(67394, 67394)",ABCDx
63,[],"(71785, 71785)",ABCDx
64,[],"(76037, 76037)",ABCDx
65,[],"(71258, 71258)",ABCDx
66,[],"(55531, 55531)",ABCDx
67,[],"(62009, 62009)",ABCDx
68,[],"(52869, 52869)",ABCDx
69,[],"(75556, 75556)",ABCDx
70,[],"(72046, 72046)",ABCDx
71,[],"(56075, 56075)",ABCDx
72,[],"(58053, 58053)",ABCDx
73,[],"(53132, 53132)",ABCDx
74,[],"(61671, 61671)",ABCDx
75,[],"(75483, 75483)",ABCDx
76,[],"(67485, 67485)",ABCDx
77,[],"(52878, 52878)",ABCDx
78,[],"(59413, 59413)",ABCDx
79,[],"(71278, 71278)",ABCDx
80,[],"(57038, 57038)",ABCDx
81,[],"(58210, 58210)",ABCDx
82,[],"(67681, 67681)",ABCDx
83,[],"(79194, 79194)",ABCDx
84,[],"(69021, 69021)",ABCDx
85,[],"(76284, 76284)",ABCDx
86,[],"(55962, 55962)",ABCDx
87,[],"(57312, 57312)",ABCDx
88,[],"(72566, 72566)",ABCDx
89,[],"(74832, 74832)",ABCDx
90,[],"(67486, 67486)",ABCDx
91,[],"(69937, 69937)",ABCDx
92,[],"(69387, 69387)",ABCDx
93,[],"(55883, 55883)",ABCDx
94,[],"(53041, 53041)",ABCDx
95,[],"(75923, 75923)",ABCDx
96,[],"(52265, 52265)",ABCDx
97,[],"(74463, 74463)",ABCDx
98,[],"(71792, 71792)",ABCDx
99,[],"(50019, 50019)",ABCDx
100,"[90522, 90817, 92434, 93281, 95663]","(65547, 65547)",ADWIN
101,"[93436, 94445]","(58278, 58278)",ADWIN
102,[],"(76446, 76446)",ADWIN
103,"[47816, 47848, 96884, 97322, 97898, 97930]","(76860, 76860)",ADWIN
104,"[60605, 60939, 60976, 61798, 92426]","(52147, 52147)",ADWIN
105,"[81984, 84322, 84354, 84386]","(68100, 68100)",ADWIN
106,"[77720, 80330, 81384, 81749, 82434, 94090]","(69223, 69223)",ADWIN
107,"[50088, 53864, 62077, 62749, 62850, 62950]","(59979, 59979)",ADWIN
108,"[96128, 97357, 98820]","(57606, 57606)",ADWIN
109,[],"(70153, 70153)",ADWIN
110,"[92618, 93794, 94322, 98040]","(72369, 72369)",ADWIN
111,"[77124, 78037, 78429, 84082, 84898, 91189, 94583]","(52812, 52812)",ADWIN
112,"[58760, 58792, 89999, 94776]","(67394, 67394)",ADWIN
113,"[74872, 74968, 75000, 80672, 87410, 88293, 90797, 93028]","(71785, 71785)",ADWIN
114,"[59240, 59272, 89392, 89631, 90506, 91250]","(76037, 76037)",ADWIN
115,"[76144, 76768, 78185, 82487, 89997, 92995, 93091]","(71258, 71258)",ADWIN
116,[98830],"(55531, 55531)",ADWIN
117,[],"(62009, 62009)",ADWIN
118,"[54990, 55264, 55478, 56248, 57158]","(52869, 52869)",ADWIN
119,"[56008, 95877]","(75556, 75556)",ADWIN
120,"[96674, 98005]","(72046, 72046)",ADWIN
121,[95864],"(56075, 56075)",ADWIN
122,"[85948, 87266, 88061, 90922]","(58053, 58053)",ADWIN
123,"[56466, 56534, 56602, 57111, 57615, 85299]","(53132, 53132)",ADWIN
