,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,37.0,1.0,49.0,0.02631578947368421,0.02,0.02,0.022727272727272724,2380.0,0.37,0.38,50.0,38.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,220.0,6.0,46.0,0.02654867256637168,0.11538461538461539,0.08,0.043165467625899276,1746.5,2.2,2.26,50.0,226.0
CUSUM,124.0,10.0,40.0,0.07462686567164178,0.2,0.2,0.10869565217391304,1611.4,1.24,1.34,50.0,134.0
DDM,149.0,9.0,41.0,0.056962025316455694,0.18,0.18,0.08653846153846154,1465.888888888889,1.49,1.58,50.0,158.0
EWMAChart,64.0,7.0,43.0,0.09859154929577464,0.14,0.14,0.11570247933884298,1457.4285714285713,0.64,0.71,50.0,71.0
GeometricMovingAverage,11678.0,383.0,0.0,0.031755244175441504,1.0,1.0,0.06155576984892318,180.52,116.78,120.61,50.0,12061.0
HDDMAverage,301.0,9.0,42.0,0.02903225806451613,0.17647058823529413,0.16,0.04986149584487535,731.0,3.0100000000000002,3.1,50.0,310.0
HDDMWeighted,779.0,28.0,24.0,0.03469640644361834,0.5384615384615384,0.52,0.06519208381839348,1302.8076923076924,7.79,8.07,50.0,807.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,366.0,15.0,35.0,0.03937007874015748,0.3,0.3,0.06960556844547565,1273.2,3.66,3.81,50.0,381.0
SEED,33.0,6.0,44.0,0.15384615384615385,0.12,0.12,0.13483146067415733,1297.1666666666667,0.33,0.39,50.0,39.0
STEPD,103.0,6.0,44.0,0.05504587155963303,0.12,0.12,0.07547169811320754,758.8333333333334,1.03,1.09,50.0,109.0
STUDD,577.0,13.0,44.0,0.022033898305084745,0.22807017543859648,0.12,0.0401854714064915,1052.5,5.77,5.8999999999999995,50.0,590.0
