,preds,true,detector_name
0,[72136],"(65497, 65497)",ABCD
1,[78951],"(51516, 51516)",ABCD
2,[73749],"(73022, 73022)",ABCD
3,[60645],"(51695, 51695)",ABCD
4,[94031],"(63849, 63849)",ABCD
5,[78221],"(63012, 63012)",ABCD
6,[],"(68100, 68100)",ABCD
7,[],"(75058, 75058)",ABCD
8,[78039],"(68088, 68088)",ABCD
9,[63655],"(60557, 60557)",ABCD
10,[55278],"(54942, 54942)",ABCD
11,[60453],"(67755, 67755)",ABCD
12,[60402],"(52628, 52628)",ABCD
13,[],"(57259, 57259)",ABCD
14,[76780],"(56515, 56515)",ABCD
15,[83292],"(66067, 66067)",ABCD
16,[87322],"(58989, 58989)",ABCD
17,[],"(52490, 52490)",ABCD
18,[85478],"(76572, 76572)",ABCD
19,[],"(65357, 65357)",ABCD
20,[68043],"(64291, 64291)",ABCD
21,[83297],"(58081, 58081)",ABCD
22,[82413],"(59015, 59015)",ABCD
23,[83121],"(74410, 74410)",ABCD
24,[91123],"(74252, 74252)",ABCD
25,[83603],"(79699, 79699)",ABCD
26,[],"(66398, 66398)",ABCD
27,[82147],"(59608, 59608)",ABCD
28,[64884],"(51991, 51991)",ABCD
29,[70721],"(65338, 65338)",ABCD
30,[98091],"(78952, 78952)",ABCD
31,[62393],"(54305, 54305)",ABCD
32,[99621],"(56305, 56305)",ABCD
33,[73942],"(57687, 57687)",ABCD
34,[],"(57746, 57746)",ABCD
35,[96019],"(50371, 50371)",ABCD
36,[73895],"(60663, 60663)",ABCD
37,[85411],"(77820, 77820)",ABCD
38,[55076],"(51126, 51126)",ABCD
39,[62430],"(57359, 57359)",ABCD
40,[95877],"(74828, 74828)",ABCD
41,[78181],"(65077, 65077)",ABCD
42,[],"(57124, 57124)",ABCD
43,[59609],"(57172, 57172)",ABCD
44,[72731],"(57921, 57921)",ABCD
45,[87462],"(55372, 55372)",ABCD
46,[],"(68476, 68476)",ABCD
47,[74455],"(66867, 66867)",ABCD
48,"[73136, 84555]","(78397, 78397)",ABCD
49,[71918],"(65613, 65613)",ABCD
50,[],"(65497, 65497)",ABCDx
51,[],"(57594, 57594)",ABCDx
52,[],"(62119, 62119)",ABCDx
53,[],"(78926, 78926)",ABCDx
54,[],"(57380, 57380)",ABCDx
55,[],"(65978, 65978)",ABCDx
56,[],"(56089, 56089)",ABCDx
57,[],"(71194, 71194)",ABCDx
58,[],"(65764, 65764)",ABCDx
59,[],"(57515, 57515)",ABCDx
60,[],"(76929, 76929)",ABCDx
61,[],"(71817, 71817)",ABCDx
62,[],"(77617, 77617)",ABCDx
63,[],"(77779, 77779)",ABCDx
64,[],"(62975, 62975)",ABCDx
65,[],"(57912, 57912)",ABCDx
66,[],"(60557, 60557)",ABCDx
67,[],"(54694, 54694)",ABCDx
68,[],"(78401, 78401)",ABCDx
69,[],"(64007, 64007)",ABCDx
70,[],"(77832, 77832)",ABCDx
71,[],"(58340, 58340)",ABCDx
72,[],"(76078, 76078)",ABCDx
73,[],"(58911, 58911)",ABCDx
74,[],"(60555, 60555)",ABCDx
75,[],"(66260, 66260)",ABCDx
76,[],"(55015, 55015)",ABCDx
77,[],"(50470, 50470)",ABCDx
78,[],"(79237, 79237)",ABCDx
79,[],"(64396, 64396)",ABCDx
80,[],"(50188, 50188)",ABCDx
81,[],"(75421, 75421)",ABCDx
82,[],"(62806, 62806)",ABCDx
83,[],"(72938, 72938)",ABCDx
84,[],"(69288, 69288)",ABCDx
85,[],"(55743, 55743)",ABCDx
86,[],"(76068, 76068)",ABCDx
87,[],"(53264, 53264)",ABCDx
88,[],"(78687, 78687)",ABCDx
89,[],"(57610, 57610)",ABCDx
90,[],"(77877, 77877)",ABCDx
91,[],"(57332, 57332)",ABCDx
92,[],"(54492, 54492)",ABCDx
93,[],"(70028, 70028)",ABCDx
94,[],"(56996, 56996)",ABCDx
95,[],"(55907, 55907)",ABCDx
96,[],"(51392, 51392)",ABCDx
97,[],"(77036, 77036)",ABCDx
98,[],"(56664, 56664)",ABCDx
99,[],"(54017, 54017)",ABCDx
100,[62984],"(65497, 65497)",ADWIN
101,"[59440, 59572, 76851, 84319, 91163, 96016]","(51516, 51516)",ADWIN
102,"[71688, 74364, 77423, 80369, 82873]","(73022, 73022)",ADWIN
103,"[57593, 57722, 59084, 60668]","(51695, 51695)",ADWIN
104,"[84816, 86075, 86477]","(63849, 63849)",ADWIN
105,"[70745, 72567, 72697, 76046, 79276]","(63012, 63012)",ADWIN
106,"[47976, 97485, 98274, 99448]","(68100, 68100)",ADWIN
107,[],"(75058, 75058)",ADWIN
108,"[72077, 72215, 72250, 72325, 72571, 72879, 72950, 72985, 74440, 91539, 99893]","(68088, 68088)",ADWIN
109,"[56040, 56168]","(60557, 60557)",ADWIN
110,"[48136, 57673, 60277, 60409, 65951, 66055]","(54942, 54942)",ADWIN
111,"[32744, 32968, 33128, 67208, 67368, 71940, 95397]","(67755, 67755)",ADWIN
112,"[83704, 96787]","(52628, 52628)",ADWIN
113,[78273],"(57259, 57259)",ADWIN
114,"[71608, 71778, 73395, 73430, 74181, 74519, 75467]","(56515, 56515)",ADWIN
115,"[72777, 77940, 78036, 78296, 78971, 79325, 87604]","(66067, 66067)",ADWIN
116,"[76357, 76424, 76457, 76526, 76594]","(58989, 58989)",ADWIN
117,"[98027, 99266, 99454, 99526]","(52490, 52490)",ADWIN
118,[],"(76572, 76572)",ADWIN
119,"[92017, 92244, 93019, 93084, 93151, 93505, 98792, 99209]","(65357, 65357)",ADWIN
120,"[65864, 69725, 71437, 71630, 72241, 74302, 74657, 88889]","(64291, 64291)",ADWIN
121,"[79577, 82571, 84315, 84348, 86492, 87862]","(58081, 58081)",ADWIN
122,"[65086, 65457, 87177, 91004, 91141, 91710, 92556, 93917]","(59015, 59015)",ADWIN
123,"[81250, 81348, 81995, 82059, 82091, 82188, 83123, 83835, 87819, 91646]","(74410, 74410)",ADWIN
124,"[88994, 91261, 98811]","(74252, 74252)",ADWIN
125,"[81562, 83183, 83324, 83358, 83396, 83640, 84131, 84378, 84447, 84769, 84872]","(79699, 79699)",ADWIN
126,[90532],"(66398, 66398)",ADWIN
127,"[67865, 68319, 68351, 70276, 86253, 86285, 86774, 86840, 86937]","(59608, 59608)",ADWIN
128,"[64472, 65290, 65450, 65904, 65936, 65969]","(51991, 51991)",ADWIN
129,"[66714, 67083, 67555, 68344, 68511, 69112]","(65338, 65338)",ADWIN
130,"[93227, 94486, 94922, 95256, 97465, 97704]","(78952, 78952)",ADWIN
131,[],"(54305, 54305)",ADWIN
132,"[87549, 87622, 90739, 91153, 94155]","(56305, 56305)",ADWIN
133,"[66983, 67146, 67702, 67736, 74476]","(57687, 57687)",ADWIN
134,[76072],"(57746, 57746)",ADWIN
135,"[87067, 89853, 90098, 90424, 91110, 91658]","(50371, 50371)",ADWIN
136,"[56648, 95285]","(60663, 60663)",ADWIN
137,[],"(77820, 77820)",ADWIN
138,"[53440, 55087, 55228, 55262, 55639, 56201, 56416, 59147, 59811]","(51126, 51126)",ADWIN
139,[],"(57359, 57359)",ADWIN
140,"[53096, 95065, 95404, 95505, 95873, 95971, 99876]","(74828, 74828)",ADWIN
141,"[72973, 73618, 75998, 81401]","(65077, 65077)",ADWIN
142,"[92698, 92762, 94159, 97051, 98634, 98699]","(57124, 57124)",ADWIN
143,"[55144, 59966]","(57172, 57172)",ADWIN
144,"[67049, 68102, 68463, 70308, 71754, 73758]","(57921, 57921)",ADWIN
145,"[79840, 85736, 91117]","(55372, 55372)",ADWIN
146,"[92101, 92649, 92778, 92939]","(68476, 68476)",ADWIN
147,"[70482, 70515, 70799, 71473, 71606, 73208, 82351]","(66867, 66867)",ADWIN
148,"[69704, 69960, 70024, 72040, 72456]","(78397, 78397)",ADWIN
149,"[68207, 68240, 81889, 97976]","(65613, 65613)",ADWIN
150,"[36147, 64463, 95336]","(65497, 65497)",CUSUM
151,"[54364, 60721, 76826]","(51516, 51516)",CUSUM
152,"[58671, 77130]","(73022, 73022)",CUSUM
153,"[47599, 57546, 99778]","(51695, 51695)",CUSUM
154,"[40043, 48008, 82380]","(63849, 63849)",CUSUM
155,"[35278, 57359, 68601]","(63012, 63012)",CUSUM
156,"[47039, 95651]","(68100, 68100)",CUSUM
157,"[36318, 60735, 82227]","(75058, 75058)",CUSUM
158,"[70904, 89843]","(68088, 68088)",CUSUM
159,"[56124, 83749]","(60557, 60557)",CUSUM
160,"[37157, 45519, 54591, 66997, 84792, 96920]","(54942, 54942)",CUSUM
161,"[32428, 47971, 64368]","(67755, 67755)",CUSUM
162,[28581],"(52628, 52628)",CUSUM
163,"[35521, 74854]","(57259, 57259)",CUSUM
164,"[68099, 73428]","(56515, 56515)",CUSUM
165,"[41785, 48386, 71160, 84106]","(66067, 66067)",CUSUM
166,"[46474, 68354, 76583, 96211]","(58989, 58989)",CUSUM
167,"[77565, 97385]","(52490, 52490)",CUSUM
168,[55979],"(76572, 76572)",CUSUM
169,"[32408, 88697]","(65357, 65357)",CUSUM
170,"[33963, 53164, 67526, 89493]","(64291, 64291)",CUSUM
171,"[44887, 59053, 63334, 78101]","(58081, 58081)",CUSUM
172,"[46186, 64301, 89389]","(59015, 59015)",CUSUM
173,"[67202, 80372]","(74410, 74410)",CUSUM
174,"[51202, 68463, 78311, 98371]","(74252, 74252)",CUSUM
175,"[37447, 47900, 67030, 81366]","(79699, 79699)",CUSUM
176,"[29158, 55710, 71046, 88119]","(66398, 66398)",CUSUM
177,"[48160, 56284, 67516, 85633]","(59608, 59608)",CUSUM
178,"[48985, 64687, 91569, 99824]","(51991, 51991)",CUSUM
179,"[38729, 63778, 91026]","(65338, 65338)",CUSUM
180,"[46418, 89284]","(78952, 78952)",CUSUM
181,[],"(54305, 54305)",CUSUM
182,"[44449, 86664]","(56305, 56305)",CUSUM
183,"[59165, 66784]","(57687, 57687)",CUSUM
184,"[35973, 69982]","(57746, 57746)",CUSUM
185,"[35822, 73016, 85741]","(50371, 50371)",CUSUM
186,"[33175, 47881, 92604]","(60663, 60663)",CUSUM
187,[52377],"(77820, 77820)",CUSUM
188,"[35347, 52342, 83622]","(51126, 51126)",CUSUM
189,[33617],"(57359, 57359)",CUSUM
190,"[34465, 43504, 85347, 98592]","(74828, 74828)",CUSUM
191,"[40124, 67148, 76736]","(65077, 65077)",CUSUM
192,"[39914, 64025, 92549]","(57124, 57124)",CUSUM
193,"[46764, 62673, 72491, 99512]","(57172, 57172)",CUSUM
194,[64197],"(57921, 57921)",CUSUM
195,"[75795, 91716]","(55372, 55372)",CUSUM
196,"[47715, 81957, 99210]","(68476, 68476)",CUSUM
197,"[68677, 87778]","(66867, 66867)",CUSUM
198,"[48754, 58961, 69627]","(78397, 78397)",CUSUM
199,"[56474, 69051, 96090]","(65613, 65613)",CUSUM
200,"[25132, 25337, 25571, 25688, 26363, 26478, 26901, 27062, 27493, 27989, 28269, 28553, 28712, 29214, 29744, 29861, 30051, 30214, 30327, 30839, 30954, 31071, 31258, 38972, 39202, 40139, 40262, 40485, 40597, 55445, 56141, 56356, 56466, 56959, 57356, 57513, 57813, 61397, 61544, 61670, 62182, 62347, 62574, 62731, 63200, 63431, 63570, 63799, 64153, 64463, 64917, 65068, 65227, 65472, 65639, 70505, 72134, 72735, 73252, 73387, 73839, 74047, 77344, 78340, 78517, 78640, 78780, 78984, 79573, 79743, 79879, 80270, 80534, 80804, 81243, 81520, 82551, 82737, 83916, 84495, 84636, 85464, 85584, 85787, 86059, 86322, 86436, 86687, 87673, 88078, 88558, 91628, 92021, 92133, 92373, 95526]","(65497, 65497)",DDM
