,preds,true,detector_name
0,"[71724, 84574]","(65547, 65547)",ABCD
1,[],"(73322, 73322)",ABCD
2,[98657],"(58988, 58988)",ABCD
3,[],"(63351, 63351)",ABCD
4,[83693],"(52312, 52312)",ABCD
5,[],"(56719, 56719)",ABCD
6,[],"(79356, 79356)",ABCD
7,[62045],"(67248, 67248)",ABCD
8,[],"(57319, 57319)",ABCD
9,[93329],"(72510, 72510)",ABCD
10,[80415],"(71495, 71495)",ABCD
11,"[78717, 97339]","(71625, 71625)",ABCD
12,"[70561, 87062]","(68508, 68508)",ABCD
13,[],"(54507, 54507)",ABCD
14,[88430],"(62245, 62245)",ABCD
15,"[73964, 80716, 95182]","(77628, 77628)",ABCD
16,[],"(57915, 57915)",ABCD
17,[],"(67010, 67010)",ABCD
18,[],"(59174, 59174)",ABCD
19,[],"(51770, 51770)",ABCD
20,[54826],"(78908, 78908)",ABCD
21,[93676],"(75938, 75938)",ABCD
22,[],"(68164, 68164)",ABCD
23,[68488],"(69810, 69810)",ABCD
24,[],"(57244, 57244)",ABCD
25,[],"(72495, 72495)",ABCD
26,[88552],"(64541, 64541)",ABCD
27,[],"(58565, 58565)",ABCD
28,[],"(52622, 52622)",ABCD
29,[90565],"(67638, 67638)",ABCD
30,[],"(61701, 61701)",ABCD
31,[82063],"(70018, 70018)",ABCD
32,[75177],"(53905, 53905)",ABCD
33,[],"(74153, 74153)",ABCD
34,[84867],"(78467, 78467)",ABCD
35,"[77928, 81258]","(79818, 79818)",ABCD
36,[],"(61432, 61432)",ABCD
37,[],"(54461, 54461)",ABCD
38,[],"(61070, 61070)",ABCD
39,[89145],"(75974, 75974)",ABCD
40,[],"(71726, 71726)",ABCD
41,[],"(73757, 73757)",ABCD
42,[81116],"(76105, 76105)",ABCD
43,[],"(72119, 72119)",ABCD
44,[84069],"(53408, 53408)",ABCD
45,[],"(56896, 56896)",ABCD
46,[],"(75543, 75543)",ABCD
47,[92438],"(78433, 78433)",ABCD
48,[86753],"(78536, 78536)",ABCD
49,[],"(62179, 62179)",ABCD
50,[],"(65547, 65547)",ABCDx
51,[],"(73322, 73322)",ABCDx
52,[],"(58988, 58988)",ABCDx
53,[],"(63351, 63351)",ABCDx
54,[],"(52312, 52312)",ABCDx
55,[],"(56719, 56719)",ABCDx
56,[],"(79356, 79356)",ABCDx
57,[],"(67248, 67248)",ABCDx
