,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,37.0,4.0,46.0,0.0975609756097561,0.08,0.08,0.08791208791208793,1923.75,0.37,0.41,50.0,41.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,180.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.8,1.8,50.0,180.0
CUSUM,117.0,1.0,49.0,0.00847457627118644,0.02,0.02,0.011904761904761904,1468.0,1.17,1.1800000000000002,50.0,118.0
DDM,135.0,2.0,48.0,0.014598540145985401,0.04,0.04,0.021390374331550797,1668.5,1.35,1.3699999999999999,50.0,137.0
EWMAChart,72.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.7200000000000001,0.7200000000000001,50.0,72.0
GeometricMovingAverage,12021.0,413.0,0.0,0.0332153771915715,1.0,1.0,0.06429516618665837,148.34,120.21,124.34,50.0,12434.0
HDDMAverage,311.0,8.0,45.0,0.025078369905956112,0.1509433962264151,0.1,0.04301075268817204,1232.4,3.11,3.19,50.0,319.0
HDDMWeighted,768.0,20.0,31.0,0.025380710659898477,0.39215686274509803,0.38,0.04767580452920142,1326.6315789473683,7.680000000000001,7.88,50.0,788.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,338.0,5.0,45.0,0.014577259475218658,0.1,0.1,0.02544529262086514,1718.6,3.3800000000000003,3.4299999999999997,50.0,343.0
SEED,38.0,11.0,39.0,0.22448979591836735,0.22,0.22,0.22222222222222224,819.8181818181819,0.38,0.49,50.0,49.0
STEPD,97.0,12.0,38.0,0.11009174311926606,0.24,0.24,0.1509433962264151,637.6666666666666,0.9700000000000001,1.09,50.0,109.0
STUDD,545.0,14.0,43.0,0.025044722719141325,0.24561403508771928,0.14,0.045454545454545456,928.7142857142857,5.45,5.590000000000001,50.0,559.0
