,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,41.0,2.0,48.0,0.046511627906976744,0.04,0.04,0.04301075268817204,2281.0,0.41,0.43,50.0,43.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,203.0,8.0,46.0,0.037914691943127965,0.14814814814814814,0.08,0.06037735849056604,1274.25,2.0300000000000002,2.11,50.0,211.0
CUSUM,227.0,6.0,44.0,0.02575107296137339,0.12,0.12,0.04240282685512368,864.5,2.27,2.33,50.0,233.0
DDM,29.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.29,0.29,50.0,29.0
EWMAChart,737.0,3.0,48.0,0.004054054054054054,0.058823529411764705,0.04,0.007585335018963337,1588.0,7.37,7.4,50.0,740.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,103.0,5.0,45.0,0.046296296296296294,0.1,0.1,0.06329113924050632,1597.2,1.03,1.08,50.0,108.0
HDDMWeighted,2026.0,57.0,15.0,0.027364378300528083,0.7916666666666666,0.7,0.052900232018561484,1175.6,20.26,20.830000000000002,50.0,2083.0
PageHinkley,81.0,2.0,48.0,0.024096385542168676,0.04,0.04,0.030075187969924814,1715.0,0.8099999999999999,0.83,50.0,83.0
RDDM,285.0,16.0,38.0,0.053156146179401995,0.2962962962962963,0.24,0.09014084507042254,1103.5,2.85,3.0100000000000002,50.0,301.0
SEED,132.0,21.0,33.0,0.13725490196078433,0.3888888888888889,0.34,0.2028985507246377,1423.5294117647059,1.32,1.5299999999999998,50.0,153.0
STEPD,1123.0,43.0,21.0,0.03687821612349914,0.671875,0.58,0.06991869918699187,1249.6206896551723,11.23,11.66,50.0,1166.0
STUDD,737.0,12.0,40.0,0.01602136181575434,0.23076923076923078,0.2,0.029962546816479405,888.9,7.37,7.49,50.0,749.0
