,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,53.0,3.0,48.0,0.05357142857142857,0.058823529411764705,0.04,0.056074766355140186,835.0,0.53,0.5599999999999999,50.0,56.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,237.0,8.0,46.0,0.0326530612244898,0.14814814814814814,0.08,0.05351170568561873,1271.0,2.37,2.4499999999999997,50.0,245.0
CUSUM,135.0,4.0,46.0,0.02877697841726619,0.08,0.08,0.042328042328042326,1359.5,1.35,1.39,50.0,139.0
DDM,6722.0,184.0,18.0,0.02664349840718216,0.9108910891089109,0.64,0.051772650534608895,502.21875,67.22,69.06,50.0,6906.0
EWMAChart,112.0,1.0,49.0,0.008849557522123894,0.02,0.02,0.012269938650306749,1400.0,1.1199999999999999,1.13,50.0,113.0
GeometricMovingAverage,36197.0,1249.0,0.0,0.03335469743096726,1.0,1.0,0.0645561442046776,42.92,361.97,374.46000000000004,50.0,37446.0
HDDMAverage,153.0,4.0,47.0,0.025477707006369428,0.0784313725490196,0.06,0.03846153846153847,1711.6666666666667,1.5299999999999998,1.57,50.0,157.0
HDDMWeighted,7068.0,214.0,1.0,0.029387530898104915,0.9953488372093023,0.98,0.05708950246765372,537.0408163265306,70.68,72.82,50.0,7282.0
PageHinkley,22.0,1.0,49.0,0.043478260869565216,0.02,0.02,0.0273972602739726,1922.0,0.22,0.23,50.0,23.0
RDDM,60341.0,2062.0,0.0,0.03304328317548836,1.0,1.0,0.06397269836345304,54.76,603.41,624.03,50.0,62403.0
SEED,127.0,20.0,34.0,0.1360544217687075,0.37037037037037035,0.32,0.1990049751243781,1393.0,1.27,1.47,50.0,147.0
STEPD,109.0,22.0,31.0,0.16793893129770993,0.41509433962264153,0.38,0.2391304347826087,1507.6842105263158,1.09,1.31,50.0,131.0
STUDD,678.0,12.0,40.0,0.017391304347826087,0.23076923076923078,0.2,0.03234501347708895,1021.5,6.779999999999999,6.8999999999999995,50.0,690.0
