,preds,true,detector_name
0,"[34150, 50062, 65928]","(56578, 56578)",ABCD
1,"[33900, 56184]","(65469, 65469)",ABCD
2,"[29289, 56546, 72489]","(64624, 64624)",ABCD
3,"[40887, 53762]","(41188, 41188)",ABCD
4,"[34152, 75917]","(42239, 42239)",ABCD
5,"[42728, 56287, 71991]","(54519, 54519)",ABCD
6,"[31449, 57856, 66932, 71155, 78358]","(62262, 62262)",ABCD
7,"[56716, 65177]","(54038, 54038)",ABCD
8,"[37098, 54864, 64189, 82156]","(47908, 47908)",ABCD
9,"[33523, 68921]","(56894, 56894)",ABCD
10,"[35132, 71700]","(60918, 60918)",ABCD
11,"[43566, 52177, 77387]","(54026, 54026)",ABCD
12,"[27683, 59306]","(49542, 49542)",ABCD
13,"[30455, 58434]","(45379, 45379)",ABCD
14,"[39540, 60048]","(50823, 50823)",ABCD
15,"[33170, 56093, 66824, 77544]","(61900, 61900)",ABCD
16,"[31966, 51593, 61698]","(57989, 57989)",ABCD
17,"[32362, 52300]","(54535, 54535)",ABCD
18,[52748],"(59192, 59192)",ABCD
19,"[38252, 57501, 67923]","(51346, 51346)",ABCD
20,"[34344, 54315, 65975]","(60094, 60094)",ABCD
21,"[33883, 52318]","(60701, 60701)",ABCD
22,"[23646, 40411, 59404]","(62263, 62263)",ABCD
23,"[31708, 58254]","(53690, 53690)",ABCD
24,"[32321, 49168, 56538, 75527]","(55328, 55328)",ABCD
25,"[51810, 69630]","(55671, 55671)",ABCD
26,"[40004, 54810, 72040]","(42075, 42075)",ABCD
27,"[45336, 53174, 73266]","(49905, 49905)",ABCD
28,"[36189, 56020, 67295]","(60100, 60100)",ABCD
29,"[37310, 57199]","(52801, 52801)",ABCD
30,[53234],"(52493, 52493)",ABCD
31,"[37685, 50325, 69226, 77153]","(42579, 42579)",ABCD
32,"[42811, 56183, 66747]","(58256, 58256)",ABCD
33,"[33767, 52383, 63186, 76064]","(56938, 56938)",ABCD
34,"[37199, 58097, 77062]","(49829, 49829)",ABCD
35,"[33448, 62958, 78989]","(52364, 52364)",ABCD
36,"[33228, 56148, 77434]","(43797, 43797)",ABCD
37,"[35144, 57856]","(58212, 58212)",ABCD
38,"[34419, 37290, 53273, 79354]","(44564, 44564)",ABCD
39,"[37768, 56229]","(51424, 51424)",ABCD
40,"[34553, 49732, 69783]","(46988, 46988)",ABCD
41,"[39706, 58122, 69724]","(56583, 56583)",ABCD
42,"[30636, 55530, 63080]","(57934, 57934)",ABCD
43,"[28779, 51895, 76744]","(49215, 49215)",ABCD
44,"[32108, 45954, 53122, 61328, 73934]","(57996, 57996)",ABCD
45,"[34309, 57648, 77823]","(47131, 47131)",ABCD
46,"[31689, 46543, 61188, 79575]","(43323, 43323)",ABCD
47,"[25790, 39763, 74157]","(44729, 44729)",ABCD
48,"[32419, 53833, 75567]","(47243, 47243)",ABCD
49,"[36648, 66127, 73845]","(44032, 44032)",ABCD
50,[],"(56578, 56578)",ABCDx
51,[],"(65469, 65469)",ABCDx
52,[],"(64624, 64624)",ABCDx
53,[],"(41188, 41188)",ABCDx
54,[],"(42239, 42239)",ABCDx
55,[],"(54519, 54519)",ABCDx
56,[],"(62262, 62262)",ABCDx
57,[],"(54038, 54038)",ABCDx
58,[],"(47908, 47908)",ABCDx
59,[79082],"(56894, 56894)",ABCDx
60,[],"(56621, 56621)",ABCDx
61,[],"(49979, 49979)",ABCDx
62,[],"(48902, 48902)",ABCDx
63,[],"(59943, 59943)",ABCDx
64,[],"(44191, 44191)",ABCDx
65,[71057],"(41402, 41402)",ABCDx
66,[],"(58558, 58558)",ABCDx
67,[],"(58091, 58091)",ABCDx
68,[],"(61986, 61986)",ABCDx
69,[],"(54702, 54702)",ABCDx
70,[],"(56682, 56682)",ABCDx
71,[],"(63127, 63127)",ABCDx
72,[],"(47816, 47816)",ABCDx
73,[74444],"(54656, 54656)",ABCDx
74,[64918],"(51812, 51812)",ABCDx
75,[63726],"(49948, 49948)",ABCDx
76,[],"(49624, 49624)",ABCDx
77,[],"(63598, 63598)",ABCDx
78,[],"(56554, 56554)",ABCDx
79,[],"(61474, 61474)",ABCDx
80,[],"(45287, 45287)",ABCDx
81,[67341],"(54203, 54203)",ABCDx
82,[],"(43738, 43738)",ABCDx
83,[],"(55109, 55109)",ABCDx
84,[],"(56562, 56562)",ABCDx
85,[],"(55460, 55460)",ABCDx
86,[],"(47381, 47381)",ABCDx
87,[],"(63943, 63943)",ABCDx
88,[77132],"(60503, 60503)",ABCDx
89,[],"(58842, 58842)",ABCDx
90,[],"(51344, 51344)",ABCDx
91,[73938],"(63158, 63158)",ABCDx
92,[],"(48386, 48386)",ABCDx
93,[],"(45070, 45070)",ABCDx
94,[78322],"(62209, 62209)",ABCDx
95,[],"(46959, 46959)",ABCDx
96,[63136],"(49801, 49801)",ABCDx
97,[],"(50156, 50156)",ABCDx
98,[],"(58612, 58612)",ABCDx
99,[],"(54087, 54087)",ABCDx
100,"[31762, 34258, 34290, 47890, 47986, 48018, 48850, 53810, 72340, 73237, 73333, 74741, 77173]","(56578, 56578)",ADWIN
101,"[31410, 33522, 33810, 36850, 37234, 37266, 41714, 54642, 55538, 55634, 55762, 55794, 55826, 56146, 56274, 56370, 56818, 57138, 63282, 64242]","(65469, 65469)",ADWIN
102,"[27538, 27634, 30834, 30898, 54450, 54514, 54610, 55410, 55666, 56978, 57010, 61202]","(64624, 64624)",ADWIN
103,"[40274, 40306, 40658, 40850, 54546, 55538, 58962, 59250, 60082, 60338, 60786, 68114, 68210, 68626, 68690, 68818, 74610]","(41188, 41188)",ADWIN
104,"[32114, 34834, 35250, 35410, 35442, 35794, 36018, 36146, 36370]","(42239, 42239)",ADWIN
105,"[35986, 36082, 36242, 36370, 43986, 45170, 53266, 54610, 54773, 55270, 55425, 73253, 73308, 73371, 78052]","(54519, 54519)",ADWIN
106,"[28562, 34066, 36050, 37010, 42066, 42162, 55794, 55954, 56466, 56498, 60178]","(62262, 62262)",ADWIN
107,"[53266, 54066, 54258, 54386, 54418, 55602, 56018, 60082, 60178, 60306, 60786, 60818, 60850, 78580]","(54038, 54038)",ADWIN
108,"[34898, 35026, 37330, 37426, 54012, 54273, 54305, 56820, 60090, 63442, 69563, 69793, 69858, 69923, 69956, 70085, 70117, 70249, 70283]","(47908, 47908)",ADWIN
109,"[32338, 32402, 32594, 36338, 37362, 56562, 56754, 57138, 66783, 72986, 73019, 73339, 73860]","(56894, 56894)",ADWIN
110,"[35026, 36946, 44594, 67838, 68699, 69418]","(60918, 60918)",ADWIN
111,"[26194, 41138, 42418, 44562, 44722, 52114, 52146, 52178, 52530]","(54026, 54026)",ADWIN
112,"[26450, 29170, 43506, 51790, 51846, 51906, 51965, 52027, 52149, 52608, 63863, 63930, 71413, 72866]","(49542, 49542)",ADWIN
113,"[27538, 27570, 27698, 32178, 33778, 35986, 37650, 49908, 52741, 53268, 54257, 57107, 59806, 62043, 72687, 73179, 73344, 73474, 73506, 74156, 74256, 74978, 75074, 75693, 76189]","(45379, 45379)",ADWIN
114,"[36690, 38898, 40594, 40690, 40722, 42418, 55875, 55976, 56111, 71561, 72475, 72685, 80697]","(50823, 50823)",ADWIN
