,preds,true,detector_name
0,"[28274, 56538, 78691]","(49794, 49794)",ABCD
1,"[42536, 59481, 66367]","(64903, 64903)",ABCD
2,"[32754, 66251]","(60069, 60069)",ABCD
3,[61680],"(59659, 59659)",ABCD
4,"[39290, 51274, 58307, 66632]","(57658, 57658)",ABCD
5,"[38489, 58426]","(55497, 55497)",ABCD
6,"[35293, 48728]","(45720, 45720)",ABCD
7,"[34657, 66809]","(51292, 51292)",ABCD
8,"[52930, 67702, 79191]","(62787, 62787)",ABCD
9,"[38800, 69621, 75949]","(44433, 44433)",ABCD
10,"[51545, 65721]","(64386, 64386)",ABCD
11,[],"(43968, 43968)",ABCD
12,"[44821, 56449, 58354, 66313, 79343]","(55266, 55266)",ABCD
13,"[34158, 76026]","(53601, 53601)",ABCD
14,"[37557, 56866, 72008]","(53309, 53309)",ABCD
15,"[35573, 63542]","(61293, 61293)",ABCD
16,[41750],"(45678, 45678)",ABCD
17,"[41336, 54605, 73257]","(51458, 51458)",ABCD
18,"[28539, 59031, 61978, 81574]","(61486, 61486)",ABCD
19,[26260],"(54456, 54456)",ABCD
20,[79635],"(41721, 41721)",ABCD
21,[41638],"(61977, 61977)",ABCD
22,"[39782, 55069, 63341]","(61217, 61217)",ABCD
23,"[39777, 56589, 78553]","(52357, 52357)",ABCD
24,"[45417, 51723, 58030]","(56647, 56647)",ABCD
25,"[42917, 54402, 66197, 69683, 73854]","(65311, 65311)",ABCD
26,"[35910, 55496]","(53044, 53044)",ABCD
27,"[36035, 54476, 65502]","(64839, 64839)",ABCD
28,"[37725, 78340]","(54260, 54260)",ABCD
29,"[40638, 53548, 62896]","(61941, 61941)",ABCD
30,[36963],"(41601, 41601)",ABCD
31,"[50450, 55465]","(54960, 54960)",ABCD
32,"[51213, 58109, 67139, 73969]","(56829, 56829)",ABCD
33,"[41559, 54857, 64787, 69057]","(62058, 62058)",ABCD
34,"[34657, 51554, 53225, 59507]","(52598, 52598)",ABCD
35,"[53095, 73244]","(54069, 54069)",ABCD
36,"[38758, 50947]","(45633, 45633)",ABCD
37,"[41320, 50662, 56581]","(48787, 48787)",ABCD
38,[50603],"(50243, 50243)",ABCD
39,"[39205, 59902, 61908]","(58443, 58443)",ABCD
40,[53252],"(52716, 52716)",ABCD
41,"[40419, 50220, 64542, 75518]","(48147, 48147)",ABCD
42,"[35013, 45468, 62379, 72443]","(43870, 43870)",ABCD
43,[68450],"(45855, 45855)",ABCD
44,"[33715, 55826]","(51930, 51930)",ABCD
45,"[58127, 65295, 78421]","(62479, 62479)",ABCD
46,"[46404, 54583]","(51710, 51710)",ABCD
47,"[36880, 54313]","(51502, 51502)",ABCD
48,"[36760, 60290, 62013, 68046]","(61731, 61731)",ABCD
49,"[54338, 69763]","(42251, 42251)",ABCD
50,[],"(49794, 49794)",ABCDx
51,[65469],"(64903, 64903)",ABCDx
52,[],"(60069, 60069)",ABCDx
53,[60362],"(59659, 59659)",ABCDx
54,[64040],"(57658, 57658)",ABCDx
55,[],"(55497, 55497)",ABCDx
56,[],"(45720, 45720)",ABCDx
57,[52681],"(51292, 51292)",ABCDx
58,[76474],"(62787, 62787)",ABCDx
59,[45442],"(44433, 44433)",ABCDx
60,[66075],"(64386, 64386)",ABCDx
61,[45532],"(43968, 43968)",ABCDx
62,[],"(55266, 55266)",ABCDx
63,[54622],"(53601, 53601)",ABCDx
64,[55771],"(53309, 53309)",ABCDx
65,[70222],"(61293, 61293)",ABCDx
66,[53797],"(45678, 45678)",ABCDx
67,[52919],"(51458, 51458)",ABCDx
68,[],"(61486, 61486)",ABCDx
69,[56775],"(54456, 54456)",ABCDx
70,[50041],"(41721, 41721)",ABCDx
71,[64660],"(61977, 61977)",ABCDx
72,[],"(61217, 61217)",ABCDx
73,[],"(52357, 52357)",ABCDx
74,[57847],"(56647, 56647)",ABCDx
75,[67990],"(65311, 65311)",ABCDx
76,[],"(53044, 53044)",ABCDx
77,[],"(64839, 64839)",ABCDx
78,[60686],"(54260, 54260)",ABCDx
79,[66145],"(61941, 61941)",ABCDx
80,[52552],"(41601, 41601)",ABCDx
81,[57857],"(54960, 54960)",ABCDx
82,[74893],"(56829, 56829)",ABCDx
83,[63633],"(62058, 62058)",ABCDx
84,[],"(52598, 52598)",ABCDx
85,[55640],"(54069, 54069)",ABCDx
86,[],"(45633, 45633)",ABCDx
87,[51026],"(48787, 48787)",ABCDx
88,[57130],"(50243, 50243)",ABCDx
89,[67020],"(58443, 58443)",ABCDx
90,[54619],"(52716, 52716)",ABCDx
91,[49370],"(48147, 48147)",ABCDx
92,[44690],"(43870, 43870)",ABCDx
93,[47791],"(45855, 45855)",ABCDx
94,[54590],"(51930, 51930)",ABCDx
95,[65465],"(62479, 62479)",ABCDx
96,[55766],"(51710, 51710)",ABCDx
97,[60491],"(51502, 51502)",ABCDx
98,[62820],"(61731, 61731)",ABCDx
99,[53551],"(42251, 42251)",ABCDx
100,"[27922, 28114, 33202]","(49794, 49794)",ADWIN
101,"[36978, 38386, 38482, 39058, 54610, 56690, 56882, 57202, 58802, 59506, 60850, 61842, 62674, 62898, 63410, 80946]","(64903, 64903)",ADWIN
102,"[31090, 31154, 31218, 31282, 31314, 32690, 46930, 56114, 56306, 56626, 67986, 68242]","(60069, 60069)",ADWIN
103,"[55890, 56082, 56114, 56210, 56274, 56434, 57522, 57970, 62738, 63026, 64786, 76946]","(59659, 59659)",ADWIN
104,"[37330, 38706, 39538, 39826, 39922, 50546, 50578, 50802, 50898, 50994, 51090, 66098, 66290, 66674, 67698, 69266]","(57658, 57658)",ADWIN
105,"[27346, 28466, 28722, 36562, 36722, 37490, 45074, 69042, 69074]","(55497, 55497)",ADWIN
106,"[33586, 33682, 33714, 33746, 34354, 34386, 35250, 35346, 51538]","(45720, 45720)",ADWIN
107,"[31826, 32754, 47506, 47890, 48690, 48722, 81298]","(51292, 51292)",ADWIN
108,"[48850, 49010, 49042, 49298, 49650, 52114, 78194, 78386, 78482, 79314]","(62787, 62787)",ADWIN
109,"[36114, 36466, 36658, 37458, 42482, 74930, 74962, 76722]","(44433, 44433)",ADWIN
110,"[38418, 38450, 50290, 50354, 50866, 50930]","(64386, 64386)",ADWIN
111,"[51954, 52530, 53106]","(43968, 43968)",ADWIN
112,"[37010, 37106, 37138, 53746, 53778, 54674, 58130, 58162, 58258, 58418, 58546, 65938, 65970, 66194, 71186, 71954]","(55266, 55266)",ADWIN
113,"[31730, 32818, 33906, 35154, 62290, 68850, 74034, 74098, 74130, 74226, 74898, 75154, 75378, 75634, 77234]","(53601, 53601)",ADWIN
114,"[35250, 35538, 37138, 70194, 70930, 71506, 72082, 72114]","(53309, 53309)",ADWIN
115,"[34610, 34738, 34770, 34930, 35026, 35346, 35378, 35698, 70162, 71794, 72306, 72338, 72498]","(61293, 61293)",ADWIN
116,"[35826, 36722, 78770, 78866, 79154]","(45678, 45678)",ADWIN
117,"[40594, 40786, 41138, 41202, 41298, 41906, 42162, 47346, 47378, 47410, 69394]","(51458, 51458)",ADWIN
