,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,102.0,23.0,27.0,0.184,0.46,0.46,0.26285714285714284,1237.0,1.2401215805471124,1.5197568389057752,50.0,125.0
ABCDx,19.0,19.0,31.0,0.5,0.38,0.38,0.4318181818181818,1459.9473684210527,0.23100303951367782,0.46200607902735563,50.0,38.0
ADWIN,563.0,1.0,49.0,0.0017730496453900709,0.02,0.02,0.003257328990228013,1739.0,6.844984802431611,6.857142857142857,50.0,564.0
CUSUM,210.0,3.0,47.0,0.014084507042253521,0.06,0.06,0.022813688212927757,1828.3333333333333,2.553191489361702,2.5896656534954405,50.0,213.0
DDM,103.0,2.0,49.0,0.01904761904761905,0.0392156862745098,0.02,0.025641025641025644,2199.0,1.2522796352583587,1.276595744680851,50.0,105.0
EWMAChart,7849.0,314.0,2.0,0.038466250153129974,0.9936708860759493,0.96,0.07406533789361953,460.3541666666667,95.42857142857143,99.24620060790274,50.0,8163.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,162.0,4.0,46.0,0.024096385542168676,0.08,0.08,0.037037037037037035,1338.25,1.9696048632218843,2.0182370820668694,50.0,166.0
HDDMWeighted,761.0,18.0,36.0,0.023106546854942234,0.3333333333333333,0.28,0.0432172869147659,1176.7857142857142,9.252279635258358,9.47112462006079,50.0,779.0
PageHinkley,111.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.3495440729483281,1.3495440729483281,50.0,111.0
RDDM,359.0,6.0,45.0,0.01643835616438356,0.11764705882352941,0.1,0.028846153846153848,1021.4,4.364741641337386,4.437689969604863,50.0,365.0
SEED,272.0,62.0,3.0,0.18562874251497005,0.9538461538461539,0.94,0.3107769423558897,284.8085106382979,3.3069908814589666,4.060790273556232,50.0,334.0
STEPD,946.0,57.0,20.0,0.05682951146560319,0.7402597402597403,0.6,0.10555555555555556,261.03333333333336,11.501519756838906,12.19452887537994,50.0,1003.0
STUDD,2681.0,162.0,13.0,0.056982061202954626,0.9257142857142857,0.74,0.10735586481113321,1042.8108108108108,32.59574468085106,34.56534954407295,50.0,2843.0
