,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,139.0,33.0,19.0,0.19186046511627908,0.6346153846153846,0.62,0.29464285714285715,1142.8387096774193,1.689969604863222,2.0911854103343464,50.0,172.0
ABCDx,0.0,50.0,0.0,1.0,1.0,1.0,1.0,326.44,0.0,0.6079027355623101,50.0,50.0
ADWIN,595.0,6.0,46.0,0.009983361064891847,0.11538461538461539,0.08,0.018376722817764167,1129.75,7.23404255319149,7.306990881458967,50.0,601.0
CUSUM,154.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.872340425531915,1.872340425531915,50.0,154.0
DDM,219.0,2.0,48.0,0.00904977375565611,0.04,0.04,0.014760147601476016,1581.5,2.662613981762918,2.6869300911854106,50.0,221.0
EWMAChart,144.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.7507598784194527,1.7507598784194527,50.0,144.0
GeometricMovingAverage,9785.0,415.0,0.0,0.04068627450980392,1.0,1.0,0.07819123881300047,147.34,118.96656534954407,124.01215805471125,50.0,10200.0
HDDMAverage,352.0,15.0,40.0,0.04087193460490463,0.2727272727272727,0.2,0.07109004739336493,1062.6,4.279635258358663,4.462006079027356,50.0,367.0
HDDMWeighted,400.0,17.0,34.0,0.0407673860911271,0.3333333333333333,0.32,0.07264957264957266,1321.3125,4.863221884498481,5.069908814589666,50.0,417.0
PageHinkley,14.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.1702127659574468,0.1702127659574468,50.0,14.0
RDDM,347.0,2.0,48.0,0.0057306590257879654,0.04,0.04,0.010025062656641603,1260.0,4.218844984802431,4.2431610942249245,50.0,349.0
SEED,173.0,56.0,3.0,0.2445414847161572,0.9491525423728814,0.94,0.3888888888888889,411.0425531914894,2.103343465045593,2.7841945288753798,50.0,229.0
STEPD,245.0,48.0,4.0,0.16382252559726962,0.9230769230769231,0.92,0.2782608695652174,338.9782608695652,2.9787234042553195,3.5623100303951367,50.0,293.0
STUDD,1905.0,153.0,13.0,0.07434402332361516,0.9216867469879518,0.74,0.13758992805755396,1080.2162162162163,23.161094224924014,25.02127659574468,50.0,2058.0
