,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,96.0,10.0,40.0,0.09433962264150944,0.2,0.2,0.1282051282051282,1355.8,1.1671732522796352,1.2887537993920974,50.0,106.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,613.0,68.0,33.0,0.09985315712187959,0.6732673267326733,0.34,0.17391304347826086,977.9411764705883,7.452887537993921,8.279635258358663,50.0,681.0
CUSUM,269.0,18.0,32.0,0.0627177700348432,0.36,0.36,0.10682492581602374,1086.0,3.2705167173252283,3.4893617021276597,50.0,287.0
DDM,116.0,3.0,48.0,0.025210084033613446,0.058823529411764705,0.04,0.03529411764705882,1298.5,1.4103343465045592,1.446808510638298,50.0,119.0
EWMAChart,7452.0,310.0,0.0,0.03993816026797217,1.0,1.0,0.07680872150644201,286.46,90.60182370820668,94.37082066869301,50.0,7762.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,186.0,13.0,37.0,0.06532663316582915,0.26,0.26,0.10441767068273092,1103.4615384615386,2.2613981762917934,2.419452887537994,50.0,199.0
HDDMWeighted,1001.0,48.0,16.0,0.04575786463298379,0.75,0.68,0.0862533692722372,953.8235294117648,12.170212765957446,12.753799392097264,50.0,1049.0
PageHinkley,160.0,9.0,41.0,0.05325443786982249,0.18,0.18,0.0821917808219178,1265.7777777777778,1.9452887537993921,2.054711246200608,50.0,169.0
RDDM,394.0,19.0,38.0,0.04600484261501211,0.3333333333333333,0.24,0.08085106382978724,1166.25,4.7902735562310035,5.0212765957446805,50.0,413.0
SEED,243.0,19.0,32.0,0.07251908396946564,0.37254901960784315,0.36,0.12140575079872204,1278.4444444444443,2.9544072948328264,3.1854103343465043,50.0,262.0
STEPD,925.0,41.0,19.0,0.042443064182194616,0.6833333333333333,0.62,0.07992202729044835,1137.4193548387098,11.246200607902736,11.74468085106383,50.0,966.0
STUDD,1702.0,62.0,30.0,0.035147392290249435,0.6739130434782609,0.4,0.0668103448275862,951.75,20.69300911854103,21.446808510638295,50.0,1764.0
