,preds,true,detector_name
0,"[28274, 61034, 74887]","(49794, 49794)",ABCD
1,"[46962, 60413, 72798]","(46457, 46457)",ABCD
2,"[33924, 59740]","(65488, 65488)",ABCD
3,"[53300, 70853]","(58109, 58109)",ABCD
4,[53192],"(61108, 61108)",ABCD
5,"[34095, 56589]","(63965, 63965)",ABCD
6,"[30830, 48902]","(57066, 57066)",ABCD
7,"[47628, 55526]","(41704, 41704)",ABCD
8,"[37110, 59161]","(55494, 55494)",ABCD
9,"[35068, 46626, 80129]","(64470, 64470)",ABCD
10,[59682],"(57369, 57369)",ABCD
11,[50320],"(49820, 49820)",ABCD
12,"[37649, 44340]","(49512, 49512)",ABCD
13,"[41272, 63227]","(45188, 45188)",ABCD
14,"[36890, 61410, 72335]","(54137, 54137)",ABCD
15,"[47532, 59081]","(56084, 56084)",ABCD
16,"[34854, 58045, 67491, 79314]","(55227, 55227)",ABCD
17,"[35811, 58708]","(46741, 46741)",ABCD
18,"[41318, 55621, 69730]","(47680, 47680)",ABCD
19,"[37689, 71272]","(58022, 58022)",ABCD
20,"[36114, 58368, 79556]","(41724, 41724)",ABCD
21,"[39731, 56576, 77858]","(50132, 50132)",ABCD
22,"[36303, 52735, 71863]","(43325, 43325)",ABCD
23,"[59599, 75933]","(52747, 52747)",ABCD
24,"[59529, 70154]","(41730, 41730)",ABCD
25,"[37197, 53580]","(53622, 53622)",ABCD
26,[50672],"(65485, 65485)",ABCD
27,"[33134, 67405]","(44578, 44578)",ABCD
28,"[35072, 58015]","(51701, 51701)",ABCD
29,[53185],"(60005, 60005)",ABCD
30,"[27098, 53416, 63296]","(50105, 50105)",ABCD
31,"[24209, 34456, 53736, 74797]","(62998, 62998)",ABCD
32,"[34728, 57761, 76390]","(59260, 59260)",ABCD
33,"[47774, 59647]","(64035, 64035)",ABCD
34,"[37260, 61739]","(48697, 48697)",ABCD
35,"[36150, 58952, 66536]","(64591, 64591)",ABCD
36,[55471],"(60134, 60134)",ABCD
37,"[28951, 55941]","(59812, 59812)",ABCD
38,[54585],"(55904, 55904)",ABCD
39,"[36277, 60636]","(44074, 44074)",ABCD
40,"[33239, 58995, 76731]","(45067, 45067)",ABCD
41,"[48285, 58593, 80762]","(54415, 54415)",ABCD
42,"[42078, 60512]","(54532, 54532)",ABCD
43,[56508],"(46959, 46959)",ABCD
44,"[41570, 60942]","(62102, 62102)",ABCD
45,"[31473, 57209]","(54936, 54936)",ABCD
46,"[32750, 63412]","(55965, 55965)",ABCD
47,"[44698, 51798, 76901]","(55293, 55293)",ABCD
48,"[34012, 57165, 70149]","(43876, 43876)",ABCD
49,"[35197, 60453]","(64273, 64273)",ABCD
50,[],"(49794, 49794)",ABCDx
51,[],"(46457, 46457)",ABCDx
52,[],"(65488, 65488)",ABCDx
53,[],"(58109, 58109)",ABCDx
54,[],"(61108, 61108)",ABCDx
55,[],"(63965, 63965)",ABCDx
