,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,137.0,9.0,41.0,0.06164383561643835,0.18,0.18,0.09183673469387754,1320.5555555555557,1.6656534954407294,1.7750759878419453,50.0,146.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,687.0,51.0,32.0,0.06910569105691057,0.6144578313253012,0.36,0.12423873325213154,1166.111111111111,8.35258358662614,8.972644376899696,50.0,738.0
CUSUM,204.0,12.0,38.0,0.05555555555555555,0.24,0.24,0.09022556390977443,1123.3333333333333,2.480243161094225,2.6261398176291793,50.0,216.0
DDM,285.0,16.0,34.0,0.053156146179401995,0.32,0.32,0.09116809116809117,1432.75,3.465045592705167,3.6595744680851063,50.0,301.0
EWMAChart,197.0,12.0,38.0,0.05741626794258373,0.24,0.24,0.09266409266409266,1088.25,2.3951367781155017,2.541033434650456,50.0,209.0
GeometricMovingAverage,9786.0,415.0,0.0,0.04068228605038722,1.0,1.0,0.07818387339864356,144.44,118.97872340425532,124.0243161094225,50.0,10201.0
HDDMAverage,390.0,24.0,31.0,0.057971014492753624,0.43636363636363634,0.38,0.10234541577825161,1367.7894736842106,4.741641337386018,5.033434650455927,50.0,414.0
HDDMWeighted,503.0,24.0,26.0,0.04554079696394687,0.48,0.48,0.0831889081455806,1301.5416666666667,6.1155015197568385,6.407294832826747,50.0,527.0
PageHinkley,37.0,2.0,48.0,0.05128205128205128,0.04,0.04,0.04494382022471911,1083.5,0.44984802431610943,0.4741641337386018,50.0,39.0
RDDM,442.0,20.0,30.0,0.04329004329004329,0.4,0.4,0.078125,1188.2,5.373860182370821,5.617021276595745,50.0,462.0
SEED,179.0,23.0,29.0,0.11386138613861387,0.4423076923076923,0.42,0.18110236220472442,1229.8095238095239,2.17629179331307,2.4559270516717326,50.0,202.0
STEPD,245.0,24.0,28.0,0.08921933085501858,0.46153846153846156,0.44,0.14953271028037382,1076.1818181818182,2.9787234042553195,3.2705167173252283,50.0,269.0
STUDD,1569.0,53.0,30.0,0.032675709001233046,0.6385542168674698,0.4,0.06217008797653959,1040.0,19.07598784194529,19.720364741641337,50.0,1622.0
