,preds,true,detector_name
0,"[28274, 56705]","(49794, 49794)",ABCD
1,"[51190, 78280]","(46574, 46574)",ABCD
2,"[36238, 56491]","(65070, 65070)",ABCD
3,"[47398, 53670, 67666]","(61219, 61219)",ABCD
4,"[36356, 64187]","(55564, 55564)",ABCD
5,[51936],"(53638, 53638)",ABCD
6,"[44415, 52052, 80168]","(55926, 55926)",ABCD
7,"[40290, 53742]","(62800, 62800)",ABCD
8,"[58140, 68387]","(42250, 42250)",ABCD
9,"[36114, 64461]","(59194, 59194)",ABCD
10,[60067],"(49568, 49568)",ABCD
11,"[48529, 62964]","(47211, 47211)",ABCD
12,"[39432, 59510, 73705]","(41405, 41405)",ABCD
13,"[36039, 60173, 80935]","(44803, 44803)",ABCD
14,"[42991, 58023]","(49531, 49531)",ABCD
15,"[28830, 51592, 71973]","(56541, 56541)",ABCD
16,"[50654, 80361]","(64618, 64618)",ABCD
17,"[38281, 60195]","(56315, 56315)",ABCD
18,"[51935, 59742]","(45294, 45294)",ABCD
19,"[34453, 55159, 72767]","(55343, 55343)",ABCD
20,"[38973, 54509, 68639]","(46192, 46192)",ABCD
21,"[42052, 54044, 65634]","(60886, 60886)",ABCD
22,"[35881, 50780]","(64752, 64752)",ABCD
23,[53612],"(42341, 42341)",ABCD
24,"[44496, 56515, 69151]","(46860, 46860)",ABCD
25,[60384],"(42134, 42134)",ABCD
26,[53939],"(46307, 46307)",ABCD
27,"[36640, 59029, 75269]","(49422, 49422)",ABCD
28,"[36928, 56860, 69377]","(59096, 59096)",ABCD
29,"[35915, 63847]","(47767, 47767)",ABCD
30,[58983],"(45985, 45985)",ABCD
31,"[35359, 52586]","(42659, 42659)",ABCD
32,"[33133, 59458, 69601]","(54918, 54918)",ABCD
33,"[35858, 57465, 76447]","(50265, 50265)",ABCD
34,"[40261, 54276, 76069]","(62998, 62998)",ABCD
35,"[37296, 54146]","(46941, 46941)",ABCD
36,"[50340, 70432]","(56441, 56441)",ABCD
37,"[43645, 71315]","(55661, 55661)",ABCD
38,"[50218, 63611]","(59834, 59834)",ABCD
39,"[52276, 72495]","(63723, 63723)",ABCD
40,"[33313, 58551]","(53916, 53916)",ABCD
41,"[40614, 72321]","(64640, 64640)",ABCD
42,"[42708, 56735]","(53964, 53964)",ABCD
43,[56013],"(48479, 48479)",ABCD
44,"[35015, 53947, 69332]","(47509, 47509)",ABCD
45,"[56808, 71409]","(44332, 44332)",ABCD
46,"[33478, 60407]","(49273, 49273)",ABCD
47,"[38897, 56628]","(64841, 64841)",ABCD
48,"[36334, 53192, 70098]","(49222, 49222)",ABCD
49,[54072],"(49679, 49679)",ABCD
50,[],"(49794, 49794)",ABCDx
51,[],"(46574, 46574)",ABCDx
52,[],"(65070, 65070)",ABCDx
53,[],"(61219, 61219)",ABCDx
54,[],"(55564, 55564)",ABCDx
55,[],"(53638, 53638)",ABCDx
56,[],"(55926, 55926)",ABCDx
57,[],"(62800, 62800)",ABCDx
58,[],"(42250, 42250)",ABCDx
59,[],"(59194, 59194)",ABCDx
60,[],"(49568, 49568)",ABCDx
61,[],"(47211, 47211)",ABCDx
62,[],"(41405, 41405)",ABCDx
63,[],"(44803, 44803)",ABCDx
64,[],"(49531, 49531)",ABCDx
