,preds,true,detector_name
0,[35094],"(32161, 32161)",ABCD
1,[38053],"(24748, 24748)",ABCD
2,[35594],"(26842, 26842)",ABCD
3,[38732],"(35682, 35682)",ABCD
4,[40654],"(35376, 35376)",ABCD
5,[37067],"(34865, 34865)",ABCD
6,[36291],"(25293, 25293)",ABCD
7,[],"(26245, 26245)",ABCD
8,[42575],"(29981, 29981)",ABCD
9,[],"(25435, 25435)",ABCD
10,[32518],"(35129, 35129)",ABCD
11,[36564],"(27701, 27701)",ABCD
12,[41934],"(32532, 32532)",ABCD
13,[41514],"(27449, 27449)",ABCD
14,[43834],"(34155, 34155)",ABCD
15,[42248],"(29722, 29722)",ABCD
16,[],"(26670, 26670)",ABCD
17,[37311],"(30899, 30899)",ABCD
18,[36779],"(31845, 31845)",ABCD
19,[36893],"(28442, 28442)",ABCD
20,[38978],"(27705, 27705)",ABCD
21,[33865],"(27431, 27431)",ABCD
22,[36420],"(34072, 34072)",ABCD
23,[44168],"(28840, 28840)",ABCD
24,[41829],"(27554, 27554)",ABCD
25,[35691],"(28587, 28587)",ABCD
26,[41027],"(25164, 25164)",ABCD
27,[40283],"(29033, 29033)",ABCD
28,[37434],"(32595, 32595)",ABCD
29,[41260],"(28770, 28770)",ABCD
30,[26747],"(36076, 36076)",ABCD
31,[],"(22891, 22891)",ABCD
32,[37394],"(24098, 24098)",ABCD
33,[33067],"(26016, 26016)",ABCD
34,[37638],"(31134, 31134)",ABCD
35,[40003],"(27921, 27921)",ABCD
36,[41121],"(34560, 34560)",ABCD
37,[],"(24442, 24442)",ABCD
38,[41412],"(32992, 32992)",ABCD
39,[],"(31764, 31764)",ABCD
40,[38443],"(32389, 32389)",ABCD
41,[32984],"(22874, 22874)",ABCD
42,[],"(27829, 27829)",ABCD
43,[30487],"(32737, 32737)",ABCD
44,[39556],"(27447, 27447)",ABCD
45,[],"(34498, 34498)",ABCD
46,[35583],"(30655, 30655)",ABCD
47,[40520],"(28851, 28851)",ABCD
48,[],"(36181, 36181)",ABCD
49,[41606],"(28740, 28740)",ABCD
50,"[36153, 36275]","(32161, 32161)",ADWIN
51,"[33809, 34100, 34462, 35724, 43690]","(24748, 24748)",ADWIN
52,[34031],"(26842, 26842)",ADWIN
53,"[37023, 39087]","(35682, 35682)",ADWIN
54,"[35200, 45304]","(35376, 35376)",ADWIN
55,[32800],"(34865, 34865)",ADWIN
56,"[42528, 43822]","(25293, 25293)",ADWIN
57,[40499],"(26245, 26245)",ADWIN
58,[],"(29981, 29981)",ADWIN
59,"[33776, 34169, 36632, 39049, 40231, 44918]","(25435, 25435)",ADWIN
60,"[31744, 33088, 34432, 34592, 38619, 39232, 42691]","(35129, 35129)",ADWIN
61,[41648],"(27701, 27701)",ADWIN
62,"[42212, 43312, 43594, 44562, 44828]","(32532, 32532)",ADWIN
63,"[30805, 32127, 38526]","(27449, 27449)",ADWIN
64,[],"(34155, 34155)",ADWIN
65,"[36225, 37980, 38763, 40181, 40451, 43342]","(29722, 29722)",ADWIN
66,"[41457, 42738, 42931]","(26670, 26670)",ADWIN
67,"[33492, 34681, 34742, 35134, 36762, 43977]","(30899, 30899)",ADWIN
68,"[19680, 19712]","(31845, 31845)",ADWIN
69,"[33621, 34308, 34370, 35208]","(28442, 28442)",ADWIN
70,"[29229, 29289, 30311, 30375, 30551, 30615, 32937]","(27705, 27705)",ADWIN
71,"[35405, 35708, 36117, 39651]","(27431, 27431)",ADWIN
72,"[26592, 28096, 39114, 39383]","(34072, 34072)",ADWIN
73,"[35221, 35951, 37221, 37637, 38358, 39960, 40086]","(28840, 28840)",ADWIN
74,"[38731, 41357, 41530, 42596, 43172, 44383]","(27554, 27554)",ADWIN
75,"[34939, 36229, 40983, 41172, 41452]","(28587, 28587)",ADWIN
76,"[30804, 33250]","(25164, 25164)",ADWIN
77,"[37665, 37728, 37847, 37904]","(29033, 29033)",ADWIN
78,"[33281, 42675]","(32595, 32595)",ADWIN
79,"[42202, 43378, 43958]","(28770, 28770)",ADWIN
80,"[24128, 35584, 38523, 45272]","(36076, 36076)",ADWIN
81,[],"(22891, 22891)",ADWIN
82,"[29949, 31736, 34584]","(24098, 24098)",ADWIN
83,"[30346, 37492]","(26016, 26016)",ADWIN
84,"[38174, 38739, 39022, 39081, 39178]","(31134, 31134)",ADWIN
85,"[34880, 35137, 35259, 37110, 38415]","(27921, 27921)",ADWIN
86,"[36422, 38586, 39154, 41186, 41965, 43130, 44407]","(34560, 34560)",ADWIN
87,[39522],"(24442, 24442)",ADWIN
88,"[37595, 41599]","(32992, 32992)",ADWIN
89,"[43431, 44461]","(31764, 31764)",ADWIN
90,[34801],"(32389, 32389)",ADWIN
91,"[25446, 25758, 25933, 25997]","(22874, 22874)",ADWIN
92,[],"(27829, 27829)",ADWIN
93,"[29280, 29504, 31776]","(32737, 32737)",ADWIN
94,"[32839, 32914, 33019, 33067, 33381, 33506, 37810, 37944, 39324, 45108]","(27447, 27447)",ADWIN
95,"[40802, 44169, 44883]","(34498, 34498)",ADWIN
96,[21888],"(30655, 30655)",ADWIN
97,"[43901, 44567, 44924, 45106]","(28851, 28851)",ADWIN
98,[],"(36181, 36181)",ADWIN
99,"[35666, 40741, 42998, 43586, 43830, 44393, 45147]","(28740, 28740)",ADWIN
100,"[24525, 27012, 36141]","(32161, 32161)",CUSUM
101,[27369],"(24748, 24748)",CUSUM
102,[24799],"(26842, 26842)",CUSUM
103,[35077],"(35682, 35682)",CUSUM
104,[25456],"(35376, 35376)",CUSUM
105,[31430],"(34865, 34865)",CUSUM
106,[],"(25293, 25293)",CUSUM
107,[31000],"(26245, 26245)",CUSUM
108,[17188],"(29981, 29981)",CUSUM
109,[40909],"(25435, 25435)",CUSUM
110,[28584],"(35129, 35129)",CUSUM
111,[35066],"(27701, 27701)",CUSUM
112,[36306],"(32532, 32532)",CUSUM
113,[25658],"(27449, 27449)",CUSUM
114,[35420],"(34155, 34155)",CUSUM
115,[37811],"(29722, 29722)",CUSUM
116,[43353],"(26670, 26670)",CUSUM
117,[33279],"(30899, 30899)",CUSUM
118,"[19295, 44002]","(31845, 31845)",CUSUM
119,[30930],"(28442, 28442)",CUSUM
120,[29164],"(27705, 27705)",CUSUM
121,[29862],"(27431, 27431)",CUSUM
122,"[20327, 39529]","(34072, 34072)",CUSUM
123,[35026],"(28840, 28840)",CUSUM
124,[43501],"(27554, 27554)",CUSUM
125,"[21133, 25784, 36129]","(28587, 28587)",CUSUM
126,[28301],"(25164, 25164)",CUSUM
127,[37353],"(29033, 29033)",CUSUM
128,[31977],"(32595, 32595)",CUSUM
129,[34320],"(28770, 28770)",CUSUM
130,"[21867, 38425]","(36076, 36076)",CUSUM
131,[28181],"(22891, 22891)",CUSUM
132,[30076],"(24098, 24098)",CUSUM
133,[27852],"(26016, 26016)",CUSUM
134,[35143],"(31134, 31134)",CUSUM
135,[32056],"(27921, 27921)",CUSUM
136,"[31424, 41790]","(34560, 34560)",CUSUM
137,[41672],"(24442, 24442)",CUSUM
138,[30926],"(32992, 32992)",CUSUM
139,[41142],"(31764, 31764)",CUSUM
140,[29588],"(32389, 32389)",CUSUM
141,[24482],"(22874, 22874)",CUSUM
142,[37081],"(27829, 27829)",CUSUM
143,"[23949, 45192]","(32737, 32737)",CUSUM
144,[33124],"(27447, 27447)",CUSUM
145,[40383],"(34498, 34498)",CUSUM
146,[15907],"(30655, 30655)",CUSUM
147,[40164],"(28851, 28851)",CUSUM
148,[],"(36181, 36181)",CUSUM
149,[29826],"(28740, 28740)",CUSUM
150,"[17714, 23998, 27228, 34326]","(32161, 32161)",DDM
151,"[18385, 27540, 43953]","(24748, 24748)",DDM
152,"[14997, 19738, 24717]","(26842, 26842)",DDM
153,"[28175, 32098, 37750]","(35682, 35682)",DDM
154,"[22020, 25451, 42951]","(35376, 35376)",DDM
155,"[29284, 40315]","(34865, 34865)",DDM
156,"[14613, 39835]","(25293, 25293)",DDM
157,"[15815, 19513, 30704]","(26245, 26245)",DDM
158,"[15333, 34515, 43525]","(29981, 29981)",DDM
159,"[16047, 26182, 41254]","(25435, 25435)",DDM
160,"[14064, 24814, 32137]","(35129, 35129)",DDM
161,"[24040, 33885]","(27701, 27701)",DDM
162,"[23678, 36917, 43983]","(32532, 32532)",DDM
163,"[19950, 23273, 43545]","(27449, 27449)",DDM
164,"[25568, 31298, 40700]","(34155, 34155)",DDM
165,"[20696, 28901, 40400]","(29722, 29722)",DDM
166,[20735],"(26670, 26670)",DDM
167,"[18757, 33013]","(30899, 30899)",DDM
168,"[18261, 40543]","(31845, 31845)",DDM
169,[36356],"(28442, 28442)",DDM
170,"[18906, 33904]","(27705, 27705)",DDM
171,"[26427, 36829, 40515]","(27431, 27431)",DDM
172,"[18945, 22847, 26308, 31043, 36550]","(34072, 34072)",DDM
173,"[30490, 44111]","(28840, 28840)",DDM
174,[16077],"(27554, 27554)",DDM
175,[16423],"(28587, 28587)",DDM
176,"[14357, 17350, 28069]","(25164, 25164)",DDM
177,"[20338, 30347, 37576]","(29033, 29033)",DDM
178,"[24668, 38164]","(32595, 32595)",DDM
179,"[14567, 19465, 34080]","(28770, 28770)",DDM
180,"[15324, 20421, 38663]","(36076, 36076)",DDM
181,"[21169, 44011]","(22891, 22891)",DDM
182,"[17745, 22891, 30395]","(24098, 24098)",DDM
183,"[21914, 31691]","(26016, 26016)",DDM
184,"[17866, 23858, 27665, 36163]","(31134, 31134)",DDM
185,"[14967, 27351, 33743, 43523]","(27921, 27921)",DDM
186,"[30570, 38776]","(34560, 34560)",DDM
187,"[16864, 23103]","(24442, 24442)",DDM
188,"[28669, 43449]","(32992, 32992)",DDM
189,"[16330, 41352]","(31764, 31764)",DDM
190,"[18786, 28005]","(32389, 32389)",DDM
191,"[21315, 39591]","(22874, 22874)",DDM
192,[42253],"(27829, 27829)",DDM
193,"[17418, 22659, 29279]","(32737, 32737)",DDM
194,"[16104, 31940, 39793, 44987]","(27447, 27447)",DDM
195,"[23413, 41384]","(34498, 34498)",DDM
196,"[14656, 31873]","(30655, 30655)",DDM
197,"[19251, 41013]","(28851, 28851)",DDM
198,"[20688, 25787, 29827, 34562]","(36181, 36181)",DDM
199,"[21868, 34829]","(28740, 28740)",DDM
200,[],"(32161, 32161)",EWMAChart
201,[],"(24748, 24748)",EWMAChart
202,[],"(26842, 26842)",EWMAChart
203,[],"(35682, 35682)",EWMAChart
204,[],"(35376, 35376)",EWMAChart
205,[],"(34865, 34865)",EWMAChart
206,[],"(25293, 25293)",EWMAChart
207,[],"(26245, 26245)",EWMAChart
208,[],"(29981, 29981)",EWMAChart
209,[],"(25435, 25435)",EWMAChart
210,[],"(35129, 35129)",EWMAChart
211,[],"(27701, 27701)",EWMAChart
212,[],"(32532, 32532)",EWMAChart
213,[],"(27449, 27449)",EWMAChart
214,[],"(34155, 34155)",EWMAChart
215,[],"(29722, 29722)",EWMAChart
216,[],"(26670, 26670)",EWMAChart
217,[],"(30899, 30899)",EWMAChart
218,[],"(31845, 31845)",EWMAChart
219,[],"(28442, 28442)",EWMAChart
220,[],"(27705, 27705)",EWMAChart
221,[],"(27431, 27431)",EWMAChart
222,[],"(34072, 34072)",EWMAChart
223,[],"(28840, 28840)",EWMAChart
224,[],"(27554, 27554)",EWMAChart
225,[],"(28587, 28587)",EWMAChart
226,[],"(25164, 25164)",EWMAChart
227,[],"(29033, 29033)",EWMAChart
228,[],"(32595, 32595)",EWMAChart
229,[],"(28770, 28770)",EWMAChart
230,[],"(36076, 36076)",EWMAChart
231,[],"(22891, 22891)",EWMAChart
232,[],"(24098, 24098)",EWMAChart
233,[],"(26016, 26016)",EWMAChart
234,[],"(31134, 31134)",EWMAChart
235,[],"(27921, 27921)",EWMAChart
236,[],"(34560, 34560)",EWMAChart
237,[],"(24442, 24442)",EWMAChart
238,[],"(32992, 32992)",EWMAChart
239,[],"(31764, 31764)",EWMAChart
240,[],"(32389, 32389)",EWMAChart
241,[],"(22874, 22874)",EWMAChart
242,[],"(27829, 27829)",EWMAChart
243,[],"(32737, 32737)",EWMAChart
244,[],"(27447, 27447)",EWMAChart
245,[],"(34498, 34498)",EWMAChart
246,[],"(30655, 30655)",EWMAChart
247,[],"(28851, 28851)",EWMAChart
248,[],"(36181, 36181)",EWMAChart
249,[],"(28740, 28740)",EWMAChart
250,"[11635, 11935, 12234, 12533, 12832, 13134, 13433, 13744, 14043, 14342, 14642, 14941, 15240, 15539, 15851, 16153, 16454, 16756, 17055, 17356, 17655, 17956, 18264, 18570, 18869, 19168, 19467, 19766, 20065, 20364, 20663, 20962, 21271, 21576, 21875, 22174, 22475, 22774, 23073, 23373, 23672, 23971, 24271, 24582, 24882, 25182, 25486, 25785, 26091, 26393, 26707, 27010, 27309, 27608, 27909, 28211, 28510, 28809, 29111, 29411, 29713, 30016, 30315, 30614, 30917, 31222, 31521, 31820, 32121, 32667, 33177, 33686, 34214, 34755, 35268, 35810, 36336, 36880, 37421, 37954, 38468, 38986, 39549, 40070, 40601, 41120, 41629, 42161, 42714, 43274, 43818, 44338, 44863]","(32161, 32161)",GeometricMovingAverage
251,"[11632, 11931, 12234, 12539, 12848, 13147, 13450, 13751, 14050, 14349, 14653, 14952, 15251, 15552, 15854, 16154, 16453, 16757, 17056, 17358, 17657, 17956, 18255, 18560, 18861, 19162, 19461, 19764, 20074, 20385, 20698, 21000, 21299, 21598, 21897, 22196, 22503, 22813, 23112, 23411, 23713, 24012, 24313, 24615, 25064, 25592, 26100, 26606, 27120, 27651, 28173, 28702, 29206, 29766, 30321, 30854, 31409, 31951, 32448, 32984, 33513, 34052, 34555, 35074, 35569, 36155, 36677, 37235, 37757, 38310, 38878, 39451, 40008, 40542, 41088, 41607, 42159, 42717, 43225, 43750, 44291, 44790, 45305]","(24748, 24748)",GeometricMovingAverage
252,"[11634, 11933, 12232, 12531, 12830, 13129, 13428, 13741, 14043, 14355, 14656, 14955, 15254, 15553, 15855, 16161, 16461, 16760, 17061, 17362, 17661, 17966, 18265, 18565, 18867, 19166, 19465, 19764, 20066, 20379, 20684, 20984, 21283, 21582, 21883, 22182, 22481, 22788, 23089, 23388, 23692, 23991, 24290, 24589, 24891, 25200, 25499, 25800, 26103, 26402, 26701, 27137, 27652, 28163, 28691, 29191, 29701, 30219, 30750, 31260, 31770, 32297, 32831, 33367, 33885, 34426, 34951, 35485, 36001, 36558, 37064, 37571, 38111, 38593, 39141, 39694, 40226, 40757, 41268, 41776, 42292, 42831, 43398, 43948, 44502, 45018]","(26842, 26842)",GeometricMovingAverage
253,"[11627, 11927, 12226, 12530, 12829, 13131, 13430, 13729, 14028, 14331, 14633, 14942, 15241, 15540, 15840, 16139, 16438, 16740, 17040, 17344, 17643, 17949, 18248, 18550, 18849, 19148, 19447, 19746, 20045, 20347, 20648, 20947, 21262, 21564, 21863, 22162, 22461, 22760, 23065, 23364, 23667, 23966, 24266, 24565, 24878, 25177, 25480, 25789, 26088, 26387, 26689, 26988, 27290, 27589, 27891, 28190, 28489, 28788, 29087, 29396, 29695, 29998, 30297, 30596, 30895, 31194, 31493, 31799, 32098, 32397, 32698, 32998, 33297, 33598, 33897, 34196, 34495, 34798, 35103, 35405, 35713, 36074, 36448, 36821, 37249, 37609, 37963, 38346, 38732, 39100, 39462, 39828, 40198, 40566, 40921, 41290, 41657, 42035, 42403, 42767, 43137, 43514, 43878, 44228, 44585, 44950]","(35682, 35682)",GeometricMovingAverage
254,"[11628, 11931, 12230, 12537, 12841, 13142, 13441, 13740, 14042, 14345, 14644, 14946, 15245, 15544, 15847, 16146, 16451, 16750, 17049, 17350, 17649, 17958, 18257, 18562, 18866, 19165, 19465, 19764, 20063, 20362, 20661, 20961, 21260, 21582, 21881, 22185, 22490, 22789, 23088, 23392, 23695, 23995, 24295, 24595, 24900, 25208, 25507, 25807, 26106, 26405, 26706, 27008, 27307, 27616, 27918, 28217, 28516, 28815, 29120, 29419, 29721, 30036, 30335, 30634, 30939, 31240, 31553, 31856, 32155, 32454, 32753, 33052, 33351, 33650, 33949, 34255, 34556, 34856, 35156, 35516, 36145, 36790, 37366, 37958, 38527, 39133, 39734, 40347, 40964, 41565, 42181, 42806, 43373, 43932, 44537, 45142]","(35376, 35376)",GeometricMovingAverage
255,"[11628, 11932, 12233, 12532, 12831, 13131, 13431, 13731, 14030, 14329, 14628, 14927, 15238, 15544, 15843, 16144, 16444, 16753, 17052, 17351, 17650, 17950, 18249, 18548, 18847, 19146, 19447, 19749, 20050, 20352, 20653, 20967, 21266, 21565, 21864, 22164, 22470, 22769, 23070, 23369, 23668, 23968, 24267, 24566, 24873, 25174, 25473, 25772, 26071, 26370, 26669, 26971, 27270, 27571, 27873, 28179, 28478, 28777, 29076, 29384, 29683, 29982, 30285, 30584, 30883, 31193, 31496, 31795, 32098, 32397, 32696, 33002, 33301, 33601, 33910, 34214, 34517, 34820, 35396, 36027, 36660, 37261, 37906, 38568, 39145, 39723, 40333, 40912, 41498, 42137, 42758, 43365, 44018, 44662, 45213]","(34865, 34865)",GeometricMovingAverage
256,"[11637, 11937, 12247, 12550, 12849, 13151, 13454, 13753, 14052, 14354, 14653, 14952, 15251, 15561, 15862, 16161, 16463, 16763, 17063, 17362, 17661, 17960, 18259, 18558, 18877, 19176, 19475, 19777, 20079, 20387, 20686, 20988, 21292, 21591, 21890, 22189, 22488, 22790, 23089, 23393, 23692, 23991, 24293, 24595, 24894, 25196, 25732, 26338, 26921, 27494, 28108, 28696, 29281, 29896, 30498, 31133, 31734, 32306, 32919, 33524, 34099, 34693, 35271, 35897, 36491, 37084, 37687, 38295, 38864, 39515, 40131, 40742, 41324, 41934, 42540, 43146, 43749, 44363, 44948]","(25293, 25293)",GeometricMovingAverage
257,"[11627, 11926, 12228, 12529, 12828, 13128, 13427, 13729, 14029, 14328, 14629, 14928, 15227, 15527, 15826, 16125, 16429, 16728, 17027, 17326, 17625, 17927, 18226, 18525, 18824, 19123, 19422, 19743, 20048, 20347, 20654, 20955, 21256, 21555, 21854, 22153, 22452, 22752, 23051, 23350, 23650, 23952, 24251, 24550, 24849, 25149, 25448, 25747, 26046, 26374, 26732, 27101, 27469, 27835, 28205, 28574, 28950, 29331, 29704, 30084, 30453, 30811, 31179, 31548, 31913, 32291, 32665, 33025, 33386, 33760, 34111, 34476, 34835, 35197, 35569, 35952, 36312, 36680, 37041, 37404, 37764, 38128, 38493, 38862, 39241, 39607, 39991, 40360, 40724, 41087, 41444, 41821, 42179, 42551, 42914, 43283, 43649, 44004, 44366, 44742, 45108]","(26245, 26245)",GeometricMovingAverage
258,"[11632, 11931, 12231, 12530, 12829, 13133, 13433, 13743, 14046, 14345, 14645, 14944, 15243, 15542, 15859, 16165, 16464, 16763, 17069, 17375, 17674, 17973, 18272, 18576, 18876, 19175, 19474, 19781, 20080, 20379, 20678, 20977, 21276, 21578, 21878, 22177, 22477, 22779, 23078, 23380, 23681, 23980, 24279, 24579, 24878, 25177, 25476, 25780, 26082, 26383, 26688, 26987, 27286, 27585, 27884, 28183, 28487, 28786, 29088, 29389, 29688, 29994, 30451, 30876, 31317, 31751, 32167, 32600, 33040, 33449, 33861, 34313, 34720, 35148, 35576, 36043, 36460, 36892, 37321, 37769, 38182, 38640, 39075, 39514, 39970, 40386, 40807, 41239, 41702, 42129, 42565, 42997, 43462, 43894, 44304, 44711, 45149]","(29981, 29981)",GeometricMovingAverage
