,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,39.0,2.0,48.0,0.04878048780487805,0.04,0.04,0.043956043956043966,2275.0,0.8606991525423728,0.904837570621469,50.0,41.0
ADWIN,160.0,7.0,44.0,0.041916167664670656,0.13725490196078433,0.12,0.06422018348623854,1712.0,3.5310734463276834,3.6855579096045195,50.0,167.0
CUSUM,48.0,9.0,41.0,0.15789473684210525,0.18,0.18,0.16822429906542055,1878.0,1.0593220338983051,1.2579449152542372,50.0,57.0
DDM,119.0,8.0,42.0,0.06299212598425197,0.16,0.16,0.0903954802259887,1719.25,2.626235875706215,2.802789548022599,50.0,127.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,4257.0,240.0,0.0,0.0533689126084056,1.0,1.0,0.10132995566814439,266.8,93.94862288135593,99.24523305084746,50.0,4497.0
HDDMAverage,21.0,2.0,48.0,0.08695652173913043,0.04,0.04,0.0547945205479452,1490.5,0.4634533898305085,0.5075918079096045,50.0,23.0
HDDMWeighted,34.0,1.0,49.0,0.02857142857142857,0.02,0.02,0.023529411764705885,562.0,0.7503531073446328,0.7724223163841808,50.0,35.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,189.0,15.0,35.0,0.07352941176470588,0.3,0.3,0.11811023622047245,1486.4666666666667,4.171080508474576,4.502118644067797,50.0,204.0
SEED,25.0,6.0,44.0,0.1935483870967742,0.12,0.12,0.14814814814814814,1789.8333333333333,0.5517302259887006,0.6841454802259886,50.0,31.0
STEPD,44.0,4.0,46.0,0.08333333333333333,0.08,0.08,0.08163265306122448,1596.25,0.971045197740113,1.0593220338983051,50.0,48.0
