,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,13.0,1.0,49.0,0.07142857142857142,0.02,0.02,0.03125,2354.0,0.2868997175141243,0.30896892655367236,50.0,14.0
ADWIN,76.0,6.0,47.0,0.07317073170731707,0.11320754716981132,0.06,0.08888888888888888,1931.3333333333333,1.6772598870056497,1.809675141242938,50.0,82.0
CUSUM,38.0,6.0,44.0,0.13636363636363635,0.12,0.12,0.1276595744680851,1649.5,0.8386299435028248,0.971045197740113,50.0,44.0
DDM,71.0,12.0,38.0,0.14457831325301204,0.24,0.24,0.18045112781954883,1548.3333333333333,1.5669138418079096,1.831744350282486,50.0,83.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,4240.0,232.0,0.0,0.0518783542039356,1.0,1.0,0.09863945578231292,273.52,93.57344632768363,98.69350282485875,50.0,4472.0
HDDMAverage,30.0,2.0,48.0,0.0625,0.04,0.04,0.048780487804878044,1496.5,0.6620762711864406,0.7062146892655368,50.0,32.0
HDDMWeighted,108.0,19.0,31.0,0.14960629921259844,0.38,0.38,0.21468926553672316,1155.157894736842,2.3834745762711864,2.802789548022599,50.0,127.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,142.0,16.0,34.0,0.10126582278481013,0.32,0.32,0.15384615384615385,1416.0625,3.133827683615819,3.4869350282485874,50.0,158.0
SEED,12.0,3.0,47.0,0.2,0.06,0.06,0.09230769230769231,1562.3333333333333,0.2648305084745763,0.3310381355932203,50.0,15.0
STEPD,38.0,7.0,43.0,0.15555555555555556,0.14,0.14,0.1473684210526316,1502.142857142857,0.8386299435028248,0.993114406779661,50.0,45.0
