,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,12.0,1.0,49.0,0.07692307692307693,0.02,0.02,0.03174603174603175,2224.0,0.2648305084745763,0.2868997175141243,50.0,13.0
ADWIN,102.0,12.0,46.0,0.10526315789473684,0.20689655172413793,0.08,0.13953488372093023,1716.25,2.2510593220338984,2.5158898305084745,50.0,114.0
CUSUM,36.0,8.0,42.0,0.18181818181818182,0.16,0.16,0.1702127659574468,1323.125,0.7944915254237289,0.971045197740113,50.0,44.0
DDM,84.0,10.0,40.0,0.10638297872340426,0.2,0.2,0.13888888888888892,1379.3,1.853813559322034,2.0745056497175143,50.0,94.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,4273.0,239.0,0.0,0.052969858156028365,1.0,1.0,0.10061039781098716,259.82,94.3017302259887,99.57627118644068,50.0,4512.0
HDDMAverage,20.0,2.0,48.0,0.09090909090909091,0.04,0.04,0.05555555555555555,1738.5,0.4413841807909604,0.4855225988700565,50.0,22.0
HDDMWeighted,81.0,13.0,37.0,0.13829787234042554,0.26,0.26,0.18055555555555552,1229.6153846153845,1.78760593220339,2.0745056497175143,50.0,94.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,158.0,20.0,30.0,0.11235955056179775,0.4,0.4,0.1754385964912281,1306.25,3.4869350282485874,3.9283192090395485,50.0,178.0
SEED,18.0,7.0,43.0,0.28,0.14,0.14,0.18666666666666668,1723.0,0.39724576271186446,0.5517302259887006,50.0,25.0
STEPD,31.0,10.0,40.0,0.24390243902439024,0.2,0.2,0.21978021978021978,1291.5,0.6841454802259886,0.904837570621469,50.0,41.0
