,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,14.0,27.0,30.0,0.6585365853658537,0.47368421052631576,0.4,0.5510204081632653,1181.65,0.30896892655367236,0.904837570621469,50.0,41.0
ADWIN,46.0,70.0,22.0,0.603448275862069,0.7608695652173914,0.56,0.673076923076923,1201.0357142857142,1.015183615819209,2.5600282485875705,50.0,116.0
CUSUM,26.0,1.0,49.0,0.037037037037037035,0.02,0.02,0.025974025974025972,1329.0,0.5737994350282486,0.5958686440677966,50.0,27.0
DDM,79.0,3.0,47.0,0.036585365853658534,0.06,0.06,0.04545454545454545,1832.0,1.7434675141242937,1.809675141242938,50.0,82.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,5201.0,413.0,0.0,0.07356608478802992,1.0,1.0,0.1370499419279907,161.58,114.78195621468927,123.8965395480226,50.0,5614.0
HDDMAverage,21.0,45.0,20.0,0.6818181818181818,0.6923076923076923,0.6,0.6870229007633587,740.4666666666667,0.4634533898305085,1.4565677966101696,50.0,66.0
HDDMWeighted,131.0,48.0,11.0,0.2681564245810056,0.8135593220338984,0.78,0.40336134453781514,871.2051282051282,2.8910663841807906,3.9503884180790956,50.0,179.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,177.0,13.0,37.0,0.06842105263157895,0.26,0.26,0.10833333333333335,1800.1538461538462,3.90625,4.193149717514125,50.0,190.0
SEED,16.0,79.0,9.0,0.8315789473684211,0.8977272727272727,0.82,0.8633879781420765,137.390243902439,0.3531073446327684,2.0965748587570623,50.0,95.0
STEPD,49.0,77.0,3.0,0.6111111111111112,0.9625,0.94,0.7475728155339806,206.0,1.0813912429378532,2.7807203389830506,50.0,126.0
