,preds,true,detector_name
0,[],"(32161, 32161)",ABCD
1,[25984],"(24748, 24748)",ABCD
2,[],"(26842, 26842)",ABCD
3,[44910],"(35682, 35682)",ABCD
4,"[36873, 38744]","(35376, 35376)",ABCD
5,[],"(34865, 34865)",ABCD
6,"[25995, 26976, 29458]","(25293, 25293)",ABCD
7,"[27687, 43241]","(26245, 26245)",ABCD
8,[],"(29981, 29981)",ABCD
9,[26995],"(25435, 25435)",ABCD
10,"[28380, 35866]","(35129, 35129)",ABCD
11,[31143],"(27701, 27701)",ABCD
12,"[33366, 35786]","(32532, 32532)",ABCD
13,[],"(27449, 27449)",ABCD
14,[],"(34155, 34155)",ABCD
15,[],"(29722, 29722)",ABCD
16,"[27612, 42026]","(26670, 26670)",ABCD
17,[],"(30899, 30899)",ABCD
18,[37781],"(31845, 31845)",ABCD
19,"[29478, 31367]","(28442, 28442)",ABCD
20,[],"(27705, 27705)",ABCD
21,"[33049, 42648]","(27431, 27431)",ABCD
22,"[27523, 34535, 36003]","(34072, 34072)",ABCD
23,[],"(28840, 28840)",ABCD
24,[29870],"(27554, 27554)",ABCD
25,"[29649, 32495]","(28587, 28587)",ABCD
26,[],"(25164, 25164)",ABCD
27,"[30034, 40305]","(29033, 29033)",ABCD
28,"[34647, 38335]","(32595, 32595)",ABCD
29,[31676],"(28770, 28770)",ABCD
30,[],"(36076, 36076)",ABCD
31,[],"(22891, 22891)",ABCD
32,[39832],"(24098, 24098)",ABCD
33,[],"(26016, 26016)",ABCD
34,[37954],"(31134, 31134)",ABCD
35,"[29043, 30125]","(27921, 27921)",ABCD
36,[],"(34560, 34560)",ABCD
37,[29715],"(24442, 24442)",ABCD
38,[37614],"(32992, 32992)",ABCD
39,[39608],"(31764, 31764)",ABCD
40,"[29994, 33521]","(32389, 32389)",ABCD
41,[],"(22874, 22874)",ABCD
42,[29930],"(27829, 27829)",ABCD
43,[],"(32737, 32737)",ABCD
44,[],"(27447, 27447)",ABCD
45,[],"(34498, 34498)",ABCD
46,"[29401, 31014]","(30655, 30655)",ABCD
47,"[27518, 30029, 41023]","(28851, 28851)",ABCD
48,"[37576, 38957, 40334, 43575]","(36181, 36181)",ABCD
49,[30315],"(28740, 28740)",ABCD
50,[34624],"(32161, 32161)",ADWIN
51,"[27200, 27360, 27680, 27712, 28416]","(24748, 24748)",ADWIN
52,[28832],"(26842, 26842)",ADWIN
53,[],"(35682, 35682)",ADWIN
54,"[38848, 39072]","(35376, 35376)",ADWIN
55,[],"(34865, 34865)",ADWIN
56,"[26912, 26976, 27040, 27104, 28864, 29376, 29504]","(25293, 25293)",ADWIN
57,"[30688, 30784, 31264, 31552, 37856]","(26245, 26245)",ADWIN
58,[],"(29981, 29981)",ADWIN
59,"[28672, 28768, 28800, 30144]","(25435, 25435)",ADWIN
60,"[27840, 28608, 34496, 37440, 37600]","(35129, 35129)",ADWIN
61,[33632],"(27701, 27701)",ADWIN
62,"[35040, 35744, 35872, 36864]","(32532, 32532)",ADWIN
63,"[38528, 39456, 40864]","(27449, 27449)",ADWIN
64,[],"(34155, 34155)",ADWIN
65,[],"(29722, 29722)",ADWIN
66,"[27392, 27552, 39616, 41920]","(26670, 26670)",ADWIN
67,[],"(30899, 30899)",ADWIN
68,[],"(31845, 31845)",ADWIN
69,"[31200, 31232, 31360, 32192]","(28442, 28442)",ADWIN
70,[41504],"(27705, 27705)",ADWIN
71,"[30592, 30688, 40192, 40768, 40800, 40960]","(27431, 27431)",ADWIN
72,"[13984, 27648, 30848, 35680, 36256]","(34072, 34072)",ADWIN
73,"[44320, 44576, 44640, 44896]","(28840, 28840)",ADWIN
74,"[41760, 42752, 43488, 43840]","(27554, 27554)",ADWIN
75,"[24800, 25088, 31680, 31712, 32192, 32704]","(28587, 28587)",ADWIN
76,"[26368, 43968]","(25164, 25164)",ADWIN
77,"[32000, 37728, 37888, 37920, 37952]","(29033, 29033)",ADWIN
78,"[35840, 36512, 36576, 38336]","(32595, 32595)",ADWIN
79,"[30336, 33888]","(28770, 28770)",ADWIN
80,[],"(36076, 36076)",ADWIN
81,[26624],"(22891, 22891)",ADWIN
82,[30112],"(24098, 24098)",ADWIN
83,[],"(26016, 26016)",ADWIN
84,[],"(31134, 31134)",ADWIN
85,"[30080, 30112, 30848, 43936]","(27921, 27921)",ADWIN
86,[35840],"(34560, 34560)",ADWIN
87,"[26272, 26400, 28480]","(24442, 24442)",ADWIN
88,[44352],"(32992, 32992)",ADWIN
89,[],"(31764, 31764)",ADWIN
90,"[28832, 29952, 32352]","(32389, 32389)",ADWIN
91,"[36480, 36544]","(22874, 22874)",ADWIN
92,[32032],"(27829, 27829)",ADWIN
93,[],"(32737, 32737)",ADWIN
94,[],"(27447, 27447)",ADWIN
95,[32640],"(34498, 34498)",ADWIN
96,"[29248, 29920, 30624]","(30655, 30655)",ADWIN
97,"[22336, 34240, 38912, 40032]","(28851, 28851)",ADWIN
98,"[38656, 38688, 38720, 39200, 43232, 43584, 43712, 44128, 45152]","(36181, 36181)",ADWIN
99,"[32992, 34464, 35808]","(28740, 28740)",ADWIN
100,[13738],"(32161, 32161)",CUSUM
101,[],"(24748, 24748)",CUSUM
102,[24445],"(26842, 26842)",CUSUM
103,[],"(35682, 35682)",CUSUM
104,[],"(35376, 35376)",CUSUM
105,[34544],"(34865, 34865)",CUSUM
106,"[15673, 34029]","(25293, 25293)",CUSUM
107,[38888],"(26245, 26245)",CUSUM
108,[],"(29981, 29981)",CUSUM
109,"[20102, 33824]","(25435, 25435)",CUSUM
110,[22903],"(35129, 35129)",CUSUM
111,[22873],"(27701, 27701)",CUSUM
112,[],"(32532, 32532)",CUSUM
113,[35139],"(27449, 27449)",CUSUM
114,"[26154, 31343]","(34155, 34155)",CUSUM
115,[18067],"(29722, 29722)",CUSUM
116,[],"(26670, 26670)",CUSUM
117,[22777],"(30899, 30899)",CUSUM
118,[19149],"(31845, 31845)",CUSUM
119,[],"(28442, 28442)",CUSUM
120,[],"(27705, 27705)",CUSUM
121,[40949],"(27431, 27431)",CUSUM
122,"[13360, 25881]","(34072, 34072)",CUSUM
123,[44140],"(28840, 28840)",CUSUM
124,[41790],"(27554, 27554)",CUSUM
125,"[24478, 33351]","(28587, 28587)",CUSUM
126,[42455],"(25164, 25164)",CUSUM
127,[41791],"(29033, 29033)",CUSUM
128,[38761],"(32595, 32595)",CUSUM
129,[17698],"(28770, 28770)",CUSUM
130,[22030],"(36076, 36076)",CUSUM
131,[15126],"(22891, 22891)",CUSUM
132,"[22910, 29584]","(24098, 24098)",CUSUM
133,[],"(26016, 26016)",CUSUM
134,[29520],"(31134, 31134)",CUSUM
135,"[38699, 42955]","(27921, 27921)",CUSUM
136,[31449],"(34560, 34560)",CUSUM
137,[],"(24442, 24442)",CUSUM
138,[28616],"(32992, 32992)",CUSUM
139,[],"(31764, 31764)",CUSUM
140,[22070],"(32389, 32389)",CUSUM
141,"[22035, 24523, 36069]","(22874, 22874)",CUSUM
142,[],"(27829, 27829)",CUSUM
143,[25641],"(32737, 32737)",CUSUM
144,[26263],"(27447, 27447)",CUSUM
145,[32424],"(34498, 34498)",CUSUM
146,[22224],"(30655, 30655)",CUSUM
147,"[14192, 22299, 40354]","(28851, 28851)",CUSUM
148,[],"(36181, 36181)",CUSUM
149,[],"(28740, 28740)",CUSUM
150,"[14160, 18498]","(32161, 32161)",DDM
151,"[14332, 30712, 34088]","(24748, 24748)",DDM
152,"[16047, 21236]","(26842, 26842)",DDM
