,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,36.0,10.0,40.0,0.21739130434782608,0.2,0.2,0.20833333333333331,1923.5,0.7944915254237289,1.015183615819209,50.0,46.0
ADWIN,237.0,116.0,27.0,0.3286118980169972,0.8111888111888111,0.46,0.46774193548387094,1432.6521739130435,5.2304025423728815,7.7904307909604515,50.0,353.0
CUSUM,50.0,19.0,31.0,0.2753623188405797,0.38,0.38,0.319327731092437,1246.421052631579,1.1034604519774012,1.5227754237288136,50.0,69.0
DDM,122.0,23.0,27.0,0.15862068965517243,0.46,0.46,0.2358974358974359,1259.695652173913,2.6924435028248586,3.2000353107344632,50.0,145.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,3814.0,247.0,0.0,0.060822457522777644,1.0,1.0,0.11467038068709379,230.16,84.17196327683615,89.62305790960453,50.0,4061.0
HDDMAverage,31.0,10.0,40.0,0.24390243902439024,0.2,0.2,0.21978021978021978,1679.6,0.6841454802259886,0.904837570621469,50.0,41.0
HDDMWeighted,39.0,18.0,32.0,0.3157894736842105,0.36,0.36,0.3364485981308411,1139.7777777777778,0.8606991525423728,1.2579449152542372,50.0,57.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,202.0,22.0,28.0,0.09821428571428571,0.44,0.44,0.1605839416058394,899.3181818181819,4.457980225988701,4.943502824858758,50.0,224.0
SEED,32.0,23.0,27.0,0.41818181818181815,0.46,0.46,0.43809523809523804,1437.2173913043478,0.7062146892655368,1.2138064971751414,50.0,55.0
STEPD,43.0,25.0,27.0,0.36764705882352944,0.4807692307692308,0.46,0.41666666666666663,1101.0434782608695,0.948975988700565,1.5007062146892656,50.0,68.0
