,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,18.0,16.0,16.0,0.47058823529411764,0.5,0.4666666666666667,0.48484848484848486,380.2142857142857,0.05999380064060047,0.11332162343224533,30.0,34.0
ABCDx,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
ADWIN,82.0,29.0,17.0,0.26126126126126126,0.6304347826086957,0.43333333333333335,0.36942675159235666,-42.46153846153846,0.27330509180717993,0.3699617706170363,30.0,111.0
CUSUM,12.0,2.0,28.0,0.14285714285714285,0.06666666666666667,0.06666666666666667,0.09090909090909091,-287.0,0.03999586709373364,0.046661844942689254,30.0,14.0
DDM,678.0,153.0,4.0,0.18411552346570398,0.9745222929936306,0.8666666666666667,0.30971659919028344,-443.5769230769231,2.259766490795951,2.7697137962410547,30.0,831.0
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
GeometricMovingAverage,120.0,29.0,1.0,0.19463087248322147,0.9666666666666667,0.9666666666666667,0.3240223463687151,-904.2758620689655,0.39995867093733645,0.49661534974719274,30.0,149.0
HDDMAverage,45.0,18.0,15.0,0.2857142857142857,0.5454545454545454,0.5,0.37499999999999994,328.2,0.14998450160150117,0.20997830224210165,30.0,63.0
HDDMWeighted,471.0,130.0,0.0,0.21630615640599002,1.0,1.0,0.35567715458276333,-578.1666666666666,1.5698377834290458,2.0031263436111604,30.0,601.0
PageHinkley,8.0,4.0,26.0,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.19047619047619044,260.0,0.02666391139582243,0.03999586709373364,30.0,12.0
RDDM,296.0,68.0,0.0,0.18681318681318682,1.0,1.0,0.3148148148148148,-655.3666666666667,0.98656472164543,1.2132079685099206,30.0,364.0
SEED,38.0,26.0,8.0,0.40625,0.7647058823529411,0.7333333333333333,0.5306122448979592,113.63636363636364,0.12665357913015654,0.21331129116657943,30.0,64.0
STEPD,50.0,36.0,5.0,0.4186046511627907,0.8780487804878049,0.8333333333333334,0.5669291338582677,27.16,0.1666494462238902,0.2866370475050911,30.0,86.0
STUDD,40.0,13.0,21.0,0.24528301886792453,0.38235294117647056,0.3,0.2988505747126437,-497.0,0.13331955697911216,0.1766484129973236,30.0,53.0
