,trues,preds,max_delay
ABCD,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[12439, 27706, 40738, 51540, 63941, 94592, 103440, 133478, 142023, 151858, 164348, 171153, 186969, 192394, 202203, 213394, 222975, 231478, 242974, 251565, 263521, 270718, 281514]",1000
ADWIN,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[4904, 17896, 18056, 21128, 24008, 27208, 49288, 50984, 51720, 51848, 51880, 52648, 53352, 53800, 58056, 87784, 97704, 101128, 101224, 101288, 101736, 101768, 101800, 101864, 101896, 101928, 102856, 150984, 151016, 151048, 151080, 151208, 152936, 161928, 162824, 162856, 162952, 163080, 163560, 164104, 184008, 184584, 187880, 211848, 211880, 212968, 214728, 221192, 221224, 221864, 221928, 222952, 223976, 241224, 241768, 241832, 242760, 242952, 243816, 246152, 262696, 262760, 262824, 263080, 263112, 264136, 281192, 281672, 282024, 282056, 283272, 283464]",1000
CUSUM,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[4642, 21044, 101617, 161745, 221672, 243448, 263451, 283355]",1000
DDM,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[3996, 18714, 23909, 57787, 85777, 101046, 124585, 152716, 161774, 222473, 242946, 263058, 283283]",1000
EWMAChart,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]",[],1000
GeometricMovingAverage,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[1302, 1601, 1902, 2208, 2507, 2815, 3119, 3427, 3726, 4025, 4328, 4627, 4936, 5235, 5536, 5856, 6163, 6462, 6768, 7067, 7366, 7665, 8275, 8574, 8873, 9177, 9476, 9775, 10083, 10382, 10681, 10980, 11279, 11578, 11878, 12178, 12477, 12777, 13079, 13378, 13677, 13977, 14276, 14575, 14879, 15178, 15477, 15776, 16085, 16398, 16707, 17009, 17313, 17613, 18203, 18503, 18810, 19109, 19411, 19710, 20017, 20316, 20619, 20918, 21261, 21560, 22100, 22399, 22701, 23014, 23323, 23623, 23950, 24948, 25247, 25554, 25863, 26162, 26461, 26767, 27066, 27365, 27664, 27994, 28295, 28594, 28893, 29192, 29500, 29800, 30099, 30398, 30698, 30997, 31296, 31595, 32099, 32402, 32701, 33000, 33299, 33601, 33900, 34199, 34498, 34797, 35097, 35396, 35695, 36000, 36306, 36605, 36904, 37215, 37514, 38175, 38474, 38777, 39076, 39378, 39677, 39981, 40281, 40580, 40879, 41178, 41485, 41787, 42097, 42399, 42700, 42999, 43298, 43597, 43896, 44195, 44496, 44795, 45094, 45397, 45696, 45999, 46303, 46602, 46901, 47204, 47505, 47815, 48114, 48415, 48714, 49013, 49312, 49611, 49914, 50216, 50523, 50828, 51135, 51434, 51733, 52032, 52332, 52631, 52930, 53231, 53530, 53829, 54128, 54427, 54728, 55036, 55335, 55634, 55937, 56236, 56539, 56838, 57141, 57444, 57743, 58042, 58341, 58640, 58939, 59238, 59544, 59849, 60150, 60449, 60748, 61047, 61350, 61649, 61966, 62265, 62564, 62873, 63172, 63472, 63771, 64074, 64373, 64672, 64974, 65274, 65573, 65873, 66175, 66474, 66777, 67076, 67382, 67683, 67990, 68289, 68588, 68890, 69189, 69494, 69793, 70095, 70394, 70695, 70994, 71300, 71599, 71899, 72208, 72507, 72813, 73121, 73427, 73730, 74036, 74341, 74640, 74943, 75242, 75546, 75849, 76148, 76447, 76746, 77045, 77346, 77648, 77962, 78261, 78566, 78865, 79164, 79463, 79762, 80062, 80361, 80663, 80969, 81268, 81576, 81875, 82175, 82474, 82773, 83072, 83373, 83674, 83977, 84285, 84584, 84883, 85182, 85481, 85780, 86084, 86383, 86682, 86981, 87280, 87580, 87884, 88186, 88485, 88788, 89087, 89391, 89694, 89995, 90294, 90593, 90893, 91192, 91493, 91796, 92099, 92401, 92700, 92999, 93299, 93600, 93899, 94198, 94497, 94796, 95096, 95395, 95694, 95993, 96294, 96593, 96892, 97191, 97490, 97796, 98095, 98395, 98694, 98993, 99299, 99598, 99897, 100196, 100495, 100794, 101391, 101694, 102209, 102509, 103686, 104948, 105247, 105554, 105884, 106244, 106543, 106847, 107176, 107481, 107854, 108321, 108625, 108928, 109233, 109532, 109850, 110149, 110448, 110747, 111046, 111351, 111654, 111967, 112266, 112565, 112874, 113173, 113489, 113792, 114097, 114398, 114699, 114998, 115304, 115603, 115908, 116207, 116506, 116814, 117113, 117412, 117722, 118023, 118327, 118626, 118927, 119226, 119525, 119824, 120127, 120426, 120731, 121388, 121694, 122180, 122479, 123344, 123643, 123947, 125001, 125301, 125601, 125927, 126235, 126538, 126848, 127326, 127625, 128274, 128575, 128874, 129173, 129472, 129771, 130070, 130369, 130674, 130976, 131275, 131575, 131874, 132175, 132474, 132777, 133078, 133377, 133676, 133977, 134279, 134584, 134883, 135182, 135490, 135789, 136090, 136390, 136692, 136991, 137313, 137616, 137915, 138216, 138515, 138814, 139116, 139419, 139718, 140017, 140316, 140617, 140918, 141218, 141521, 141820, 142119, 142418, 142718, 143020, 143321, 143627, 143926, 144225, 144524, 144823, 145122, 145425, 145724, 146023, 146322, 146621, 146920, 147231, 147530, 147829, 148128, 148427, 148726, 149025, 149324, 149623, 149922, 150221, 150522, 150821, 151120, 151419, 151718, 152017, 152325, 152628, 152927, 153230, 153529, 153836, 154135, 154444, 154750, 155049, 155355, 155654, 155955, 156258, 156557, 156859, 157158, 157457, 157759, 158061, 158361, 158660, 158959, 159258, 159557, 159863, 160167, 160466, 160765, 161388, 161695, 162210, 162510, 165158, 165457, 165763, 166246, 166545, 166848, 167365, 167664, 168200, 168499, 168805, 169104, 169423, 169732, 170037, 170353, 170655, 170954, 171256, 171560, 171859, 172158, 172458, 172757, 173056, 173355, 173656, 173956, 174258, 174557, 174859, 175158, 175457, 175756, 176066, 176366, 176665, 176964, 177264, 177570, 177869, 178172, 178471, 178777, 179076, 179376, 179675, 179974, 180276, 180577, 180876, 181175, 181474, 181773, 182077, 182376, 182676, 182985, 183284, 183601, 183900, 184199, 184498, 184797, 185096, 185395, 185694, 185993, 186292, 186591, 186890, 187189, 187488, 187787, 188094, 188395, 188694, 188993, 189296, 189595, 189894, 190195, 190494, 190793, 191092, 191391, 191692, 191996, 192295, 192594, 192893, 193193, 193496, 193795, 194094, 194397, 194696, 194995, 195299, 195602, 195909, 196208, 196507, 196809, 197110, 197409, 197715, 198014, 198317, 198616, 198918, 199220, 199520, 199821, 200120, 200421, 200722, 201021, 201320, 201619, 201927, 202228, 202533, 202837, 203138, 203440, 203741, 204040, 204340, 204639, 204939, 205239, 205538, 205839, 206138, 206439, 206738, 207039, 207338, 207639, 207938, 208240, 208539, 208840, 209143, 209446, 209755, 210060, 210359, 210658, 210957, 211257, 211560, 211859, 212158, 212458, 212757, 213056, 213355, 213657, 213956, 214256, 214558, 214867, 215166, 215465, 215765, 216064, 216364, 216663, 216968, 217270, 217571, 217870, 218172, 218471, 218770, 219073, 219372, 219672, 219971, 220276, 220578, 220877, 221362, 221661, 222099, 222398, 225160, 225476, 225864, 226245, 226544, 226847, 227160, 227459, 228273, 228574, 228873, 229183, 229482, 229787, 230087, 230386, 230707, 231006, 231307, 231606, 231913, 232219, 232518, 232817, 233125, 233435, 233742, 234041, 234343, 234642, 234941, 235240, 235542, 235855, 236154, 236453, 236752, 237051, 237350, 237652, 237961, 238270, 238570, 238869, 239168, 239470, 239769, 240068, 240368, 240667, 241326, 241625, 241924, 242233, 242538, 245023, 245322, 245621, 245930, 246322, 246621, 246920, 247219, 247521, 248321, 248625, 248928, 249227, 249526, 249825, 250124, 250423, 250722, 251025, 251327, 251629, 251937, 252236, 252537, 252836, 253139, 253438, 253742, 254041, 254343, 254642, 254941, 255240, 255542, 255855, 256154, 256453, 256752, 257051, 257350, 257649, 257961, 258261, 258570, 258869, 259170, 259470, 259769, 260068, 260368, 260667, 260972, 261271, 261576, 261878, 262177, 262480, 263686, 264714, 265016, 265320, 265619, 266327, 266643, 266942, 267241, 267541, 268242, 268541, 268841, 269140, 269439, 269738, 270037, 270347, 270646, 270948, 271255, 271554, 271856, 272156, 272455, 272754, 273053, 273354, 273656, 273956, 274257, 274556, 274855, 275154, 275453, 275756, 276059, 276360, 276659, 276958, 277258, 277557, 277856, 278156, 278456, 278756, 279055, 279360, 279659, 279960, 280275, 280577, 280876, 281175, 281474, 281773, 282076, 282375, 282676, 282986, 283285, 283601, 283900, 284199, 284498, 284797, 285096, 285395, 285694, 285993, 286292, 286593, 286892, 287191, 287490, 287796, 288095, 288395, 288699, 289008, 289307, 289606, 289914, 290214, 290523, 290826, 291127, 291426, 291725, 292028, 292332, 292631, 292930, 293230, 293529, 293828, 294127, 294426, 294728, 295035, 295334, 295634, 295936, 296235, 296539, 296851, 297153, 297455, 297754, 298069, 298368, 298667, 298969, 299268, 299568, 299867]",1000
HDDMAverage,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[21766, 51007, 101194, 151008, 184653, 212052, 221867, 243015, 263225, 280992]",1000
HDDMWeighted,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[7786, 17240, 44228, 51873, 61879, 72669, 100811, 150456, 211060, 222758, 242698, 262680, 277686, 297695]",1000
PageHinkley,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]",[],1000
RDDM,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[3702, 8041, 14137, 17181, 23787, 55690, 58049, 74270, 77723, 83251, 88070, 97665, 100963, 123819, 151874, 161055, 211801, 220893, 242709, 262746, 282139]",1000
