,trues,preds,max_delay
ABCD,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]","[13179, 47321, 59073, 85380, 97632, 123494, 157491, 168040, 180846, 193834, 203518, 241833, 256162, 264927, 278476, 324910, 338306, 359174]",1000
ABCDx,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]",[],1000
ADWIN,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]",[],1000
CUSUM,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]",[],1000
DDM,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]",[],1000
EWMAChart,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]",[],1000
GeometricMovingAverage,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]",[],1000
HDDMAverage,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]",[],1000
HDDMWeighted,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]",[],1000
PageHinkley,"[(10000, 12000), (22000, 24000), (34000, 36000), (46000, 48000), (58000, 60000), (70000, 72000), (82000, 84000), (94000, 96000), (106000, 108000), (118000, 120000), (130000, 132000), (142000, 144000), (154000, 156000), (166000, 168000), (178000, 180000), (190000, 192000), (202000, 204000), (214000, 216000), (226000, 228000), (238000, 240000), (250000, 252000), (262000, 264000), (274000, 276000), (286000, 288000), (298000, 300000), (310000, 312000), (322000, 324000), (334000, 336000), (346000, 348000), (358000, 360000)]",[],1000
