,trues,preds,max_delay
ABCD,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[10016, 10440, 11566, 20016, 22128, 30519, 31656, 40458, 50366, 51657, 54342, 57532, 60016, 64941, 68298, 69302, 70027, 71258, 73035, 75793, 77688, 80011, 84014, 86802, 88847, 90090, 94184, 97389, 99998, 109662, 118505, 122092, 127911, 130094, 135923, 136900, 140149, 143826, 149554, 150262, 151512, 154967, 157080, 160011, 161772, 163543, 167211, 168359, 170043, 172998, 174537, 176806, 179560, 180021, 182407, 184542, 187136, 188536, 190040, 192141, 195434, 199126, 200016, 203102, 207366, 210212, 211567, 215171, 217625, 219077, 220016, 223358, 226945, 228751, 230028, 232970, 234433, 237967, 240359, 247024, 248792, 250073, 252834, 254973, 258728, 260031, 264947, 268082, 274095, 275463, 278908, 280011, 284554, 286005, 288904, 290069, 291410, 295214, 296687]",1000
ADWIN,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[10472, 10760, 11432, 11560, 11624, 11848, 12008, 12360, 13032, 22152, 22408, 23176, 27528, 31624, 31656, 31720, 40072, 40104, 40136, 40168, 40936, 51592, 52008, 53544, 54184, 54216, 54248, 54280, 54312, 54440, 54728, 54824, 55112, 55432, 56808, 57416, 57512, 57544, 57576, 57640, 57832, 58152, 64392, 64552, 65032, 65128, 67112, 67336, 68008, 68104, 68168, 68360, 68424, 68456, 68488, 68648, 68744, 68776, 69032, 69096, 69160, 69192, 69256, 69352, 69448, 69832, 71112, 71144, 71176, 71432, 71560, 71656, 71752, 71784, 72040, 74280, 75336, 75432, 75624, 75656, 75880, 76424, 76776, 77416, 77608, 77672, 77768, 77928, 78088, 78792, 83528, 83944, 84232, 84328, 84360, 84392, 84520, 84552, 86216, 86792, 86824, 86856, 86920, 87176, 88488, 88648, 88712, 88744, 88968, 89640, 93000, 94248, 94568, 94600, 94696, 95848, 96488, 96776, 96936, 96968, 97000, 98120, 98888, 99784, 99816, 99880, 99944, 99976, 108808, 108968, 109000, 109096, 109224, 109512, 109704, 109768, 109992, 110024, 110568, 112168, 117672, 118280, 118408, 118664, 118696, 118728, 118792, 118856, 119336, 119752, 120840, 121608, 122120, 122280, 126440, 126696, 126728, 128584, 129032, 129288, 135400, 135560, 135784, 135880, 136648, 136776, 136808, 136840, 136872, 137128, 143400, 144584, 145352, 148872, 149224, 149288, 149320, 149352, 149480, 149544, 151624, 151656, 151720, 152040, 154216, 154376, 155304, 156840, 156904, 156936, 157000, 157032, 157064, 157192, 157448, 161864, 162312, 162376, 162504, 162568, 162600, 162984, 163368, 166920, 166952, 166984, 167016, 167080, 167176, 167784, 168136, 168168, 168264, 168296, 168648, 168904, 169096, 169576, 172712, 173192, 174120, 174216, 174248, 174312, 174472, 175336, 176296, 176648, 176712, 176840, 176936, 177000, 177032, 177256, 177448, 178312, 179080, 179624, 179784, 179848, 179880, 179912, 179976, 182568, 182792, 182888, 182952, 182984, 183208, 183368, 184456, 184584, 184712, 184808, 184872, 185192, 185608, 186792, 186920, 186952, 186984, 187880, 188424, 188520, 188616, 188936, 189512, 189768, 189960, 192200, 192232, 192328, 192840, 194632, 195368, 195528, 195720, 195816, 196200, 196680, 197960, 198920, 198952, 199016, 199048, 199080, 199112, 199144, 199464, 203112, 203176, 203656, 204872, 205672, 206856, 207144, 207304, 207336, 207496, 207624, 208648, 209640, 211496, 211592, 211656, 211752, 214664, 215080, 215144, 215240, 215304, 215336, 216040, 216904, 217192, 217352, 217416, 218376, 218600, 218696, 218856, 219048, 223336, 223528, 223688, 223944, 224104, 224904, 226728, 226792, 226920, 226952, 227144, 227176, 227304, 227336, 227368, 227400, 227496, 227624, 227688, 228584, 228808, 228840, 228872, 228936, 229384, 232744, 232872, 233000, 233064, 233160, 233480, 233864, 234280, 234408, 234440, 234536, 234664, 235080, 235752, 237352, 238216, 239880, 246696, 246728, 246760, 246888, 246952, 247144, 247176, 247272, 247432, 247752, 247848, 248072, 248200, 252808, 252968, 253032, 253864, 254504, 254664, 254728, 255080, 256008, 257448, 258152, 258696, 259208, 259624, 259848, 259880, 259944, 259976, 264552, 264584, 264840, 264904, 264936, 264968, 265224, 266408, 266984, 267048, 267080, 269192, 269928, 273448, 273544, 273992, 274184, 274248, 274280, 274408, 274696, 274856, 275176, 275336, 275368, 275496, 275560, 276072, 278632, 278856, 278952, 279112, 279176, 279304, 279464, 279944, 284424, 284488, 284552, 284584, 285000, 285096, 285224, 285320, 285608, 285896, 286024, 286216, 286600, 287144, 288424, 288456, 288520, 288968, 289000, 289096, 289128, 289160, 289192, 289352, 291176, 291240, 291272, 291688, 294344, 294760, 295048, 296168, 296296, 296360, 296392, 296456, 299496]",1000
CUSUM,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[14279, 40331, 54821, 57960, 68422, 72281, 75370, 78266, 84889, 86888, 88887, 95001, 97872, 109974, 113519, 118167, 120946, 127527, 136917, 149316, 151737, 154215, 157025, 167357, 169356, 174305, 176304, 178303, 184513, 186961, 188960, 192852, 195431, 199107, 206786, 209168, 213424, 215469, 217702, 227205, 229204, 233820, 235819, 239853, 242759, 246702, 248791, 254648, 257913, 267106, 269105, 273357, 275356, 279246, 285379, 287378, 289377, 294405, 296404]",1000
DDM,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[12273, 40786, 54818, 57306, 68588, 71963, 74648, 77190, 86312, 88646, 94658, 96990, 99666, 109141, 112406, 118210, 120913, 126592, 129095, 135823, 138546, 145970, 149017, 151646, 154033, 156881, 167503, 169770, 173015, 175329, 177535, 179792, 182745, 185094, 187779, 193593, 196108, 198800, 206946, 209788, 212575, 215091, 217433, 219919, 223235, 226392, 228560, 234267, 237177, 246924, 255051, 257519, 259848, 264561, 266904, 269477, 272930, 275128, 277675, 286271, 288528, 294988, 299102]",1000
EWMAChart,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]",[],1000
GeometricMovingAverage,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[26055, 26354, 26653, 26952, 27251, 27550, 27851, 28150, 28455, 28754, 29055, 29354, 29653, 29957, 30266, 30565, 30865, 31164, 31464, 31767, 32067, 32367, 32666, 32969, 33268, 33569, 33869, 34168, 34471, 34770, 35069, 35368, 35673, 35972, 36271, 36571, 36873, 37172, 37471, 37770, 38073, 38373, 38672, 38971, 39279, 39578, 39878, 40177, 40476, 40775, 41074, 41373, 41679, 41980, 42318, 42617, 42920, 43219, 43521, 43827, 44126, 44433, 44732, 45031, 45330, 45629, 45930, 46229, 46528, 46827, 47127, 47426, 47725, 48036, 48335, 48634, 48933, 49233, 49534, 49834, 50134, 50435, 50734, 51034, 51335, 51634, 51933, 52232, 52531, 52833, 53132, 53431, 53730, 54029, 54328, 54631, 61071, 61370, 61676, 61975, 62280, 62588, 62887, 63186, 63485, 63784, 64086, 64385, 64684, 64984, 65283, 65582, 65881, 66180, 66483, 66785, 67087, 67390, 67689, 67988, 68287, 68586, 68885, 69184, 70238, 70539, 70839, 71138, 71437, 71736, 72039, 72338, 72639, 72938, 73237, 73536, 73838, 74144, 74443, 74742, 75042, 81008, 81307, 81608, 81912, 82211, 82511, 82812, 83112, 83412, 83711, 84010, 84311, 84610, 84910, 85213, 85512, 85811, 86111, 86410, 86709, 87008, 87311, 87610, 87909, 88208, 88511, 90229, 90533, 90832, 91137, 91436, 91736, 92035, 92334, 92635, 92937, 93239, 93543, 93848, 94154, 94453, 94781, 95080, 95397, 95699, 95998, 96297, 100593, 100892, 101191, 101490, 101794, 102094, 102393, 102695, 102995, 103294, 103595, 103894, 104195, 104494, 104793, 105092, 105392, 105693, 105992, 106291, 106591, 106890, 107193, 107492, 107796, 108095, 108394, 108701, 109007, 109307, 109610, 109911, 110210, 110510, 110809, 111110, 111415, 111715, 112015, 112314, 112613, 112912, 113211, 113513, 113812, 114111, 114410, 114711, 115011, 115310, 115616, 115915, 116216, 116515, 116816, 117116, 117415, 117714, 118015, 118316, 118616, 118934, 119233, 119540, 119841, 120149, 120448, 120747, 121047, 121346, 121648, 121947, 122246, 122545, 122853, 123152, 123455, 123757, 124058, 124364, 124663, 124966, 125271, 125587, 125886, 126185, 126846, 127145, 130400, 130699, 130999, 131304, 131603, 131904, 132204, 132504, 132812, 133117, 133425, 133730, 134030, 134329, 134628, 134929, 135230, 135529, 135828, 136127, 136428, 136728, 137044, 137343, 137662, 137962, 138261, 138562, 138861, 139161, 139462, 139765, 140064, 140364, 140666, 140966, 141268, 141570, 141870, 142170, 142472, 142772, 143074, 143374, 143673, 143973, 144272, 144571, 144877, 145176, 145479, 145778, 146079, 146378, 146677, 146982, 147282, 147585, 147884, 148186, 148485, 148794, 149093, 149392, 149700, 149999, 150298, 150597, 150901, 151202, 151506, 151809, 152108, 152407, 152706, 153005, 153304, 153603, 153903, 154202, 154508, 154813, 155112, 155414, 155714, 156019, 156321, 156620, 156919, 160703, 161002, 161303, 161602, 161901, 162201, 162502, 162803, 163105, 163404, 163707, 164006, 164305, 164606, 164905, 165204, 165506, 165815, 166116, 166415, 166719, 167018, 167317, 167617, 167919, 168220, 168519, 170283, 170583, 170882, 171183, 171482, 171790, 172089, 172388, 172687, 172987, 173295, 173595, 173901, 174200, 174516, 174815, 175117, 175426, 175725, 176024, 176326, 176625, 176924, 177224, 177523, 177829, 178128, 178430, 178729, 179032, 179331, 180224, 180527, 180826, 181129, 181428, 181727, 182038, 182337, 182639, 182938, 183240, 183539, 183838, 184144, 184443, 184746, 185045, 185346, 185645, 185947, 186254, 186553, 186852, 187151, 187450, 187755, 188078, 190368, 190667, 190966, 191265, 191567, 191866, 192167, 192466, 192768, 193073, 193375, 193678, 193980, 194291, 194590, 194889, 195231, 195647, 196409, 200719, 201020, 201320, 201621, 201921, 202222, 202524, 202827, 203126, 203426, 203727, 204028, 204329, 204628, 204932, 205239, 205544, 205845, 206150, 206449, 206750, 207050, 207349, 207649, 207950, 208251, 208554, 208853, 209152, 209452, 209752, 210067, 210375, 210676, 210975, 211274, 211574, 211881, 212181, 212486, 212788, 213088, 213387, 213687, 213986, 214286, 214588, 214890, 215189, 215488, 215787, 216089, 216388, 216690, 216989, 220594, 220894, 221195, 221494, 221794, 222094, 222393, 222695, 222994, 223294, 223594, 223894, 224214, 224513, 224812, 225111, 225410, 225709, 226008, 226308, 226607, 226906, 227205, 227504, 227810, 228109, 228408, 230485, 230787, 231087, 231386, 231689, 231988, 232287, 232586, 232885, 233184, 233484, 233784, 234083, 234384, 234686, 234986, 235293, 235597, 235896, 236197, 236496, 236798, 237097, 237396, 237695, 237994, 238293, 238592, 238929, 239228, 239540, 239843, 240151, 240452, 240752, 241051, 241351, 241652, 241952, 242251, 242550, 242851, 243151, 243450, 243758, 244057, 244356, 244655, 244954, 245254, 245553, 245854, 246153, 246452, 246751, 247050, 247349, 250473, 250772, 251077, 251376, 251675, 251977, 252276, 252575, 252877, 253176, 253475, 253774, 254079, 254379, 254678, 254977, 255276, 255575, 255875, 256341, 256640, 256942, 257241, 260725, 261025, 261324, 261624, 261925, 262225, 262530, 262830, 263129, 263429, 263731, 264030, 264330, 264629, 264930, 265229, 265528, 265828, 266127, 266427, 266730, 267037, 267341, 267640, 267939, 268240, 268544, 268848, 269147, 269446, 269750, 270053, 270352, 270651, 270953, 271253, 271552, 271851, 272151, 272450, 272755, 273059, 273358, 273659, 273958, 274257, 274563, 274877, 275176, 281371, 281672, 281971, 282271, 282570, 282869, 283168, 283468, 283768, 284075, 284379, 284679, 284978, 285278, 285577, 285876, 286182, 286481, 286780, 287080, 287379, 287683, 287983, 288282, 288581, 288886, 289185, 289484, 290099, 290398, 290697, 290996, 291305, 291607, 291908, 292207, 292510, 292812, 293112, 293411, 293711, 294010, 294309, 294609, 294908, 295209, 295508, 295807, 296107, 296413, 296713, 297012, 297321, 297620, 297923, 298227, 298526, 298833, 299133, 299434, 299735]",1000
HDDMAverage,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[10351, 11527, 21701, 31422, 40097, 51214, 54464, 57831, 64689, 65221, 67113, 68026, 68962, 70991, 71474, 74420, 77440, 83502, 84331, 86545, 88696, 90462, 94404, 97886, 108573, 109546, 113571, 118195, 121463, 127668, 131012, 135224, 136773, 143114, 144602, 149191, 150974, 151652, 154261, 156919, 160282, 161450, 162498, 167402, 168222, 170283, 172376, 173012, 174194, 176286, 177064, 179681, 181726, 182890, 184133, 184688, 186856, 188659, 191376, 192198, 195741, 199248, 202392, 202453, 205407, 207104, 211416, 215467, 217386, 222265, 222452, 226797, 226844, 227614, 228904, 232562, 233055, 234275, 237363, 242123, 246946, 254129, 255906, 260063, 264825, 267766, 272975, 274032, 276164, 282039, 283798, 285207, 286204, 288277, 289107, 291079, 294761, 296299]",1000
HDDMWeighted,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[10459, 21788, 29851, 31171, 33889, 40014, 51151, 53879, 63589, 65174, 66926, 68416, 69571, 71003, 71644, 74910, 83050, 84272, 86433, 88748, 91344, 94573, 99614, 104373, 108424, 109971, 117671, 121573, 131758, 135096, 136743, 142422, 143482, 144607, 148893, 151423, 153852, 156812, 161013, 162355, 163546, 166431, 168096, 172454, 174190, 175079, 176657, 179710, 181854, 182556, 184128, 186500, 188687, 191378, 192159, 194650, 202293, 204370, 205638, 207297, 211078, 211612, 214043, 216970, 222271, 223650, 225226, 226764, 228434, 232371, 233053, 234386, 236187, 242140, 246684, 252217, 254165, 259127, 262039, 264537, 266842, 268459, 271915, 273998, 275231, 282039, 284453, 285295, 287029, 288274, 289064, 290997, 291773, 293965, 296156]",1000
PageHinkley,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[56780, 68872, 75382, 88268, 119939, 156842, 168165, 176636, 186852, 199015, 208515, 217423, 227373, 234650, 248706, 256203, 274013, 289039, 296394]",1000
RDDM,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[12034, 40520, 47843, 54000, 56654, 59319, 66926, 69002, 71651, 74268, 76789, 79427, 84360, 86499, 88695, 94504, 96574, 99022, 109521, 112726, 118113, 120459, 126391, 128947, 135721, 137956, 148122, 151589, 153865, 156827, 167255, 169337, 174161, 176520, 178865, 183877, 186482, 188656, 192666, 195151, 197541, 199760, 202550, 205382, 207612, 209894, 212275, 214965, 217102, 219325, 224879, 227095, 229247, 233427, 235548, 238192, 246623, 249003, 254233, 256650, 259015, 265549, 268231, 272949, 275078, 277444, 279718, 284497, 286601, 288900, 294373, 296588, 299144]",1000
