,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,66.0,33.0,3.0,0.3333333333333333,0.9166666666666666,0.9,0.4888888888888888,-41.074074074074076,0.21997726901553505,0.32996590352330263,30.0,99.0
ABCDx,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
ADWIN,377.0,83.0,9.0,0.18043478260869567,0.9021739130434783,0.7,0.3007246376811594,-685.3333333333334,1.256536824528132,1.5331749052597898,30.0,460.0
CUSUM,63.0,13.0,17.0,0.17105263157894737,0.43333333333333335,0.43333333333333335,0.24528301886792456,-425.6923076923077,0.20997830224210165,0.2533071582603131,30.0,76.0
DDM,439.0,59.0,12.0,0.11847389558232932,0.8309859154929577,0.6,0.20738137082601055,-440.1111111111111,1.463182137845756,1.6598284843899465,30.0,498.0
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
GeometricMovingAverage,1740.0,185.0,16.0,0.09610389610389611,0.9203980099502488,0.4666666666666667,0.17403574788334902,-453.0,5.799400728591379,6.416003679619773,30.0,1925.0
HDDMAverage,99.0,17.0,17.0,0.14655172413793102,0.5,0.43333333333333335,0.22666666666666666,93.61538461538461,0.32996590352330263,0.38662671523942527,30.0,116.0
HDDMWeighted,309.0,60.0,2.0,0.16260162601626016,0.967741935483871,0.9333333333333333,0.27842227378190254,86.53571428571429,1.0298935776636413,1.2298729131323096,30.0,369.0
PageHinkley,30.0,8.0,22.0,0.21052631578947367,0.26666666666666666,0.26666666666666666,0.23529411764705882,-589.625,0.09998966773433411,0.12665357913015654,30.0,38.0
RDDM,225.0,40.0,8.0,0.1509433962264151,0.8333333333333334,0.7333333333333333,0.25559105431309903,-504.3636363636364,0.7499225080075059,0.8832420649866181,30.0,265.0
SEED,98.0,48.0,1.0,0.3287671232876712,0.9795918367346939,0.9666666666666667,0.4923076923076923,-231.0344827586207,0.32663291459882476,0.48661638297375936,30.0,146.0
STEPD,80.0,42.0,0.0,0.3442622950819672,1.0,1.0,0.5121951219512195,-121.36666666666666,0.2666391139582243,0.40662464878629206,30.0,122.0
STUDD,149.0,27.0,24.0,0.1534090909090909,0.5294117647058824,0.2,0.2378854625550661,-41.0,0.49661534974719274,0.5866060507080935,30.0,176.0
